company,job_title,location,salary,company_size,company_founded,company_type,company_industry,company_sector,company_revenue,job_description
RHEINMETALL AG3.6 ★,Logistics Support Analyst,Ipswich,"$90,868",501 to 1000 Employees,1889,Company - Public,Aerospace & Defence,Aerospace & Defence,$5 to $10 billion (USD),"WHAT WE ARE LOOKING FOR About the Team  ILS works as part of the Engineering Department to deliver the best products and services to our customers from Technical Supportability through to instructional design and delivery. This is a rare chance to join a collaborative team of logisticians, engineers, technical specialists and analysts.  About the Role Reporting to the Logistic Support Analyst Team Lead you will be engaged in reviewing requirements, management of Engineering data and design of Support products.  There will be opportunities to enhance and develop your ILS experience through training and mentoring activities.  The role of the Logistics Support Analyst is varied and you can expect to be involved in the analysis, design and support of a varied range of activities including:  Participating in engineering meetings and activities to influence design to ensure ILS supportability outcomes are incorporated; Contributing to assessments of availability, reliability, maintainability and testability; Populating and maintaining a Logistic Support Analysis Record (LSAR) database; Conducting maintenance task analysis; Conducting level of repair analysis (LORA); Determining Support and Test Equipment, Packaging, Handling, Transport and Storage requirements; Aligning repair and replacement part requirements; Development of provisioning and repair part identification lists; Supporting development of lifecycle costing data; Managing, reviewing and distributing codification data (CDATA); Assisting the development of technical data lists; and Preparing integrated logistics plans.  WHAT QUALIFICATIONS YOU SHOULD HAVE What are we looking for?  Rheinmetall seeks applicants who exemplify our Company’s values of Safety, Partnering, Openness, Respect and Trust (SPORT). This creates a workplace environment where employees value each other, live up to their promises and communicate openly.  The experience and skillset best suited to this role includes:  Proven experience in Logistics Support Analysis (LSA) in an Integrated Logistics Support team in Defence; Strong analysis capabilities of complex technical systems; Demonstrates a methodical approach to problem definition and resolution; Demonstrated knowledge of LSA activities (LSAR, LORA, CDATA and so forth); Proficient in MS Office in particular Word and Excel; Ability to work in multi-disciplinary teams and communicate with a range internal and external stakeholders; and Must hold or be eligible to obtain an Australian Government Security Clearance (must hold Australian Citizenship).  WHAT WE OFFER YOU Work as part of a team with real purpose in what we do; Attractive remuneration packages with salary sacrificing and novated leases; Access to exclusive employee discounts with over 400 retailers in Australia to help cost of living; On-site subsidised café with themed days and multiple dietary options; Long weekends every second week with a 9 day working fortnight; Flexible working practices; Opportunity to work on major projects within our Vehicle Systems (Logistic, Tactical Wheeled, Tactical Tracked), Electronic Solutions, Weapon & Ammunition Divisions); Generous internal incentive and referral program; Genuine career development and progression opportunities; Extensive Employee Assistance Program to support overall health and wellbeing; and We are proud to be recognised as an Endorsed Employer for All Women by WORK180.  CONTACT INFORMATION RDA Talent Acquisition Team Recruitment.Australia(at)rheinmetall.com.au #LI-DNI   Applications will close on 18th November 2023 ADDITIONAL INFORMATION A Defence security clearance is required for this role, applicants must be Australian Citizens and eligible to obtain and maintain appropriate clearance.  International Traffic in Arms Regulations (ITAR) are applicable and such, your nationality may be a factor in determining your suitability for this role.  Further information regarding clearance is available at: https://www.defence.gov.au/security/clearances  We know that when people from diverse backgrounds and different points of view work together, we create the most value – for our clients, our people and our community. If you don’t think you quite meet all of the requirements of the position, we’d still love to hear from you.  If you would like to express your interest in this role, please speak to your Line/Direct manager before applying.Show moreReport"
Peroptyx2.7 ★,Data Analyst,Australia,$23.50,1 to 50 Employees,2018,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,"For thousands of years, maps have provided humans with the knowledge they need to make decisions. As a Maps Data Analyst, you will have the opportunity to provide ground truth for your town, city or country.At Peroptyx, we are looking for Data Analysts who will review mapping data for digital mapping applications. Your research capabilities will validate and ensure that the navigation of certain routes are accurate and safe.As part of this role you will verify that business names and opening hours are correct. You will check that the distance from a starting point to an end destination is listed accurately resulting in better user experiences.With this job you can plan your days around this highly flexible working schedule, work weekends or late evenings, all from the comfort of your own office. The flexibility of our roles minimizes the impact on your daily routine.So, if you're looking for a new a part-time/full time opportunity Peroptyx has the right role for you!Ideal CandidateFluent in English.Excellent research skills.Excellent local knowledge of your home country.Good understanding and general knowledge of the geography and culture of Australia.Analytical mindset.Job RequirementsMust be living in Australia for a minimum of 5 consecutive years.Must pass an online open-book exam that can verify your full understanding of the material and concepts.Must be willing to work a minimum of 10 hours and up to 20 hours per week depending on task availability.Good working knowledge of search engines, map applications and familiarity with social media platforms.Strong ability to learn, understand and apply multiple sets of different instructions.All work must be of an independent nature.Technical requirements to perform the workAccess to a laptop or computer which uses:- A logon account unique to you- Anti-virus solution that is kept up to date, with regular scans performed- Only one member per household may apply- Payment is on an hourly basis. You are required to work within the average task time.-You will need to pass an online Assessment to qualify to work. We provide tips and tricks to help you prepare but this is not mandatory to take the assessment.NB. All products should be provided at your own expense.Benefits· Work up to 20 hours per week.· Earn a competitive rate of pay.· Develop your research skills.· Avoid the long commute.· Work from the comfort of your home office.· Enjoy the flexibility of setting your own working hours!Apply Online Today!This is a freelance, independent contractor position.Job Type: Part-timePart-time hours: 10-20 per weekSalary: $23.50 per hourBenefits:Unlimited annual leaveWork from homeWork Location: In personShow moreReport"
Lite n’ Easy3.0 ★,Junior Data Analyst and Administration Support,Banyo,"$89,722",51 to 200 Employees,--,Company - Public,--,--,Unknown / Non-Applicable,"Introduction: At Lite n' Easy our goal is to create a healthier Australia by changing the way Australians eat. We make it easy for people to eat well, whether they want to lose weight or simply stay healthy. As a quality driven food company, all of our creative energies go into making our meals as delicious as they are healthy.  Description: Our focus on quality and exceeding our customer's needs means that as a business we are continuously growing and as a result, we are looking for Full Time Junior Data Analyst and Administration Support to join our team in our Banyo, Brisbane location. Here are some of the fantastic benefits we offer when you join our great team:  Free and secure onsite parking Free access to our onsite wellbeing centre - free gym with equipment as good as your local gym, personal trainer, classes from Zumba, Circuit and Yoga Free onsite doctor weekly, medical checks including, flu vaccinations, skin checks and health checks Excellent discount on our food products for yourself and a family member, canteen with our food products You can shoot some hoops or play some table tennis on your break Free ongoing professional training opportunities - Certificate 3 in Food Processing and other accredited training and internal training to develop your personal skills Themed events - Melbourne Cup celebrations, Easter Coffee Cart, Family fun days at a theme park for yourself and family, Christmas Gift Card, after 1 year of service Christmas Clothing item, after 3 years of service Christmas ham or fruit box!  Reporting to the Operational Excellence Data Analyst, your day-to-day duties will involve:  Analysing data Ability to interpret data, analyse results and provide ongoing reports Ability to analyse and advise on new process improvements opportunities in data capture, analysis and reporting General administration and office support Providing support to the purchasing officer and assisting when required Assisting with implementing and communicating new processes Keeping a positive workplace culture Helping to ensure efficiency and effectiveness within the business  Key Skills and Experience: Exceptional time management and organisational skills with the ability to prioritise and work on multiple projects at once Excellent communication and interpersonal skills with the ability to build positive relationships with all key stakeholders Ability to learn about Lite n’ Easy operations, products, services, systems and processes Resourceful – ability to source information utilising available technology and resources Motivated and enthusiastic with a genuine passion for learning, development and continuous improvement Proficient on MS Office and desktop computer programs Flexible to work on a variety of tasks across all our shifts to meet business requirements  If this sounds like you and you are up for the challenge, please click the Apply Now Button and submit your application.  Please note: You must be a permanent resident or citizen to apply.Show moreReport"
Bank of Queensland3.3 ★,"Risk, Data and Analytics Analyst",Brisbane,"$77,537",Unknown,1874,Company - Public,Banking & Lending,Finance,Unknown / Non-Applicable,"About the Role We have an exciting opportunity for Analyst to join our passionate Market Risk, Credit Models and Insights team.  The purpose of this role is to support the team across all aspects of their Credit Risk data requirements; through development and maintenance of the Credit Risk Data Environment.  In this role you will: Perform monthly ETL of Credit Risk Data whilst adhering to existing process and governance frameworks.Contribute to maintenance and enhancements of Credit Risk ETL processes.Contribute to Credit Risk Data Environment enhancement projects.Complete ad-hoc data analysis to support the Credit Models & Insights teams.Development of structured data sets to assist reporting and modelling.Exemplify the BOQ Group values of Spirited, Optimistic, Curious, Inclusive, Accountable and Lionhearted to contribute to the purpose of Building Social Capital through Banking.Understand and comply with the Code of Conduct and any additional policies and procedures which apply to the role to ensure BOQ Group excels, complies with laws and regulations, and upholds their reputation. About you We are looking for someone with experience in mathematical/statistical analytics or/and enterprise ETL, who is analytically minded and has the ability to translate data insights into business benefits.  You will also possess: Exposure to relevant programming languages (SAS, SQL, VBA, R, Python, etc.) Data extraction and transformation experience preferred Analytical evaluation experience preferred Ability to analyse and interpret financial data and present it in a logical and consumable manner Strong stakeholder management and collaboration skills to build solid partnerships with other business units across the Bank About Us Bank of Queensland Group is a truly unique group of challenger brands with a purpose – to provide a genuine alternative to Australian financial services for customers and employees.  Our family of brands (Bank of Queensland (BOQ), ME Bank, Virgin Money Australia, BOQ Specialist), each come with their own defined customer audience and brand personality, but share one goal – to build social capital through banking. That’s creating trust with customers, exploring staff potential and believing that tiny gestures and big ideas can change the world for communities.  BOQ Group’s inclusive vision is to foster a workspace that values and leverages difference and creates new possibilities, a place where our people feel confident to bring their best selves to work every day. We embrace difference and believe that our workforce should reflect the customers and communities that we serve.  Since 2021 BOQ Group is recognised as an Employer of Choice for Gender Equality by the Workplace Gender Equality Agency (WGEA).  In 2023, we successfully implemented an innovative Reconciliation Plan, driving positive change and promoting inclusivity across the BOQ group. Our Perks Flexible working arrangementsDiscounted financial productsSalary sacrificing optionsPaid parental leave with no minimumPaid volunteer daysPurchase annual leaveDiscounted private health insurance planEmployee Assistance Program (EAP)Access to employee network groups focused on First Nations Reconciliation, LGBTQIA+, Multicultural, Gender, Early Careers and accessibility BOQ Group is a member of Pride in Diversity and a participating organisation in the Australian Workplace Equality Index How to Apply To apply for this role please follow the links or apply via our Careers Page.  The Bank of Queensland is committed to diversity and an inclusive workforce. Aboriginal and Torres Strait Islander People are encouraged to apply.  We celebrate, value and include people of all backgrounds, gender and expressions, sexualities, cultures, bodies and abilities. When you apply, you are welcome to tell us the pronouns you use and please let us know any reasonable adjustments you may need during the interview process.  If you are successful for a role with the Bank of Queensland, it is a condition of employment that background screening is completed to ensure that the Bank complies with its obligations under the Anti-Money Laundering and Counter Terrorism Financing Act. These checks may include, but are not limited to: identity, verification, reference checks, criminal background checks, immigration checks, verification of academic qualifications, bankruptcy checks.  Please no agency applications. Job Reference: BOQ03102Show moreReport"
JELD-WEN3.0 ★,Business Intelligence Analyst,Stapylton,"$68,583",10000+ Employees,1960,Company - Public,Wood & Paper Manufacturing,Manufacturing,$2 to $5 billion (USD),"About Us With some of the most iconic brands in the Australasian and global building industry, we are proud to have provided products and services to projects around the globe for residential, multi-residential, and commercial markets. Whether it is windows, doors, architectural glass, showers, wardrobes or other building products, our brands are committed to creating a safe and sustainable environment for customers, our team, and local communities. Over many decades our brands, including Stegbar, Corinthian Doors, A&L Windows, Trend Windows, Aneeta Windows, Breezway and Regency, along with our architectural glass facilities have been at the forefront of innovation, delivering the latest in technology and design to homeowners across Australia and around the globe. About the Opportunity We are currently looking for a highly skilled and motivated Business Intelligence analyst to join our growing team. The selected individual will play a key role in supporting existing business processes by effectively managing and resolving complex technical challenges as well as participating in a large integration project. Duties & responsibilities include  Utilize strong SQL skills to design, develop, and optimize database queries and data extraction processes. Utilize expertise in QlikView, QlikSense, Power BI and SQL Server Reporting Services (SSRS) to create visually appealing, accurate and insightful reports, dashboards, and data visualizations. Use Visual Studio and .NET experience to maintain custom applications and solutions, integrating them into the business intelligence ecosystem where appropriate. Collaborate with cross-functional teams to integrate data from diverse systems into our business intelligence solutions. Ensure data accuracy, consistency, and reliability across integrated systems. About You  Bachelor's degree in Computer Science, Information Technology, or a related field Minimum 5 years of experience in a similar role Proven experience with SQL, QlikView, Power BI, and SQL Server Reporting Services Strong problem-solving and analytical skills. Excellent communication and teamwork skills. Ability to work independently and manage multiple tasks simultaneously. Prior experience with system integration and data warehousing is a plus (desirable) Proficiency in Visual Studio and .NET development (desirable) About the Benefits Flexible working arrangements including 2 days per week WFH Competitive annual salary Ability to schedule leave every Christmas, addition paid day’s Birthday Leave Employee Assistance Program Generous staff discounts on extensive range of products Access to career progression as part of a national, 4,500-employee organization. Your Next Steps If you are ready for your next challenge in a supportive and fast-paced environment, apply now! Eligible applications must have legal rights to work full time in Australia.  Agencies will only be engaged if required. Please do not contact us or send applicants to us unless requested by the Talent Acquisition Team. #LI-DNIShow moreReport"
Suncorp Group3.7 ★,Pricing Analyst - Python,Brisbane,"$79,610",10000+ Employees,2002,Company - Public,Banking & Lending,Finance,$10+ billion (USD),"An exciting opportunity has become available for a Pricing Analyst to join our Python Technical Team. This role supports our motor vehicle experts as they load motor vehicle data into our pricing and customer facing systems  As a Pricing Analyst within our Python Technical Team, you will be passionate about learning and developing your Python programming skills.  This role is permanent full-time based in Brisbane and operates on a hybrid working model allowing you to work from our brand-new Heritage Lanes office and from the comfort of your own home.  What you’ll do  Ongoing support and maintenance of the Python Production Processes Assist with investigations into Python Production Issues, liaise with relevant technical experts and contribute to solutions Perform unit and integration testing on developed code Understand existing business requirements and help complete code changes and documentation to develop technical solutions for current and future Python Production processes  What you’ll bring  Existing experience using Python from either work experience or university experience (essential) Ability to identify programming bugs/errors, diagnose root causes and implement fixes in Python (desirable) Some exposure to either SQL and or R (desirable) Strong written and communication skills Demonstrated ability to work independently and show initiative Demonstrated ability to identify, capture and resolve complex issues Ability to work effectively within a team environment Strong attention to detail  What we can offer you  Flexible ways of working: We embrace a hybrid working model, meaning employees can balance their time between working in the office and from home. We also provide a minimum of two days paid flexible leave (and up to four days after three years of service). Industry-leading parental leave: All permanent full-time and part-time employees who are primary carers are offered 20 weeks parental leave. Secondary carers are offered four weeks paid leave, with the option to nominate between being primary and secondary carer. Purchase additional leave: Maybe you need to take some additional leave? Our people have the option to purchase additional annual leave where required. Employee discounts: We also offer discounts across our brands and various products including Suncorp Bank, Suncorp Insurance, AAMI, Shannons, Apia and GIO. Study support: We encourage external learning and offer study support to eligible employees, so you can continue to broaden your career opportunities while you work. Parental Leave: All permanent employees who are primary carers are offered 20 weeks parental leave. Wellness: We offer a wide range of initiatives to promote our employees’ health and financial wellbeing. This includes discounts on major brand health insurance, as well as discounted gym membership plans for our people. Find our full list of benefits here - Employee benefits | Suncorp Group  Why you’ll love working with us  Joining our team as a Pricing Analyst means becoming a vital part of a dynamic and innovative environment where your analytical skills will be honed, and your ideas will be valued.  With the support of a talented and collaborative team, you’ll have the change to shape strategic pricing decisions, and drive business growth.  If you are ready to embrace this challenge and embark on a rewarding journey with us, apply today! At Suncorp, we are committed to building futures and protecting what matters. We value the unique experiences, insights and diverse workforce that benefits our people, our business, and our customers. We’d love to see your application and speak with you even if you do not match the above mentioned. Advertised: 07 Nov 2023 AUS Eastern Daylight Time Applications close: 17 Nov 2023 AUS Eastern Daylight TimeShow moreReport"
Super Retail Group4.5 ★,Customer Insights Analyst - Remote,Strathpine,"$64,644",10000+ Employees,--,Company - Private,Other Retail Shops,Retail & Wholesale,$2 to $5 billion (USD),"Work options: Flexible Ability to Work From Home the majority of the time, only required to come into the office for larger team days and training.   This is an amazing opportunity to work with one of Australia’s most respected, strong, and stable retail brands Flexible Hybrid working team Great benefits, including discounts across all brands About Us Super Retail Group is one of Australasia’s Top 10 ASX listed retailers housing 4 iconic brands: BCF, Macpac, Rebel and Supercheap Auto. Led by our CEO & MD Anthony Heraghty (winner of the Australian Retail innovators 2021 Inspiring Retail Leader Award) our group purpose is to inspire our customers to make the most of their leisure time. With support offices in Brisbane, Sydney and Christchurch our network extends to over 670 retail stores with more than 12,000 team members across Australia, New Zealand and China. Your Team Our Group Customer Insights & Reporting team is responsible for the delivery of Group reporting of identifiable customers, their behaviour, and their impact on business performance. This is achieved through utilising an in-depth understanding of our brand’s customer reporting needs. The successful candidate can be based in Brisbane, Sydney or Melbourne Your Role Reporting into the Head of Customer Insights and Reporting you will be responsible for producing comprehensive deep-dive customer performance analysis and delivering these actionable insights to key stakeholders across the brands by using impactful visualisation and presentation techniques. Key Responsibilities Provide regular accurate reporting on key business metrics that relate to overall business performance compared to known customers Utilise data, research and advanced analytic techniques to form a convincing narrative and make recommendations to solve business challenges Review, advise and train other areas of the business that are required to report on customer metrics to facilitate standard methodologies and ensure accuracy of output Build and maintain effective relationships with internal and external stakeholders to achieve business priorities About You In addition to being motivated by understanding customer behaviour and priding yourself on taking initiative you will have the below: An ability to produce actionable insights (not just data), with clear articulation of findings to stakeholders Intermediate knowledge of tools used for dashboarding (e.g. Tableau, PowerBI) as well proven experience SQL in relation to analysis (e.g Snowflake) An understanding of Direct/Data Driven Marketing processes and utilisation of control groups, ideally having analysed performance of Email and SMS Marketing Well-developed communication and consultation skills proven by a background spent analysing customer data at medium to large corporate enterprises We Offer Flexible work arrangements, hybrid set up between the office and home Commitment to your professional development with ongoing opportunities for progression Generous Team Member Discounts across all Super Retail Group brands Perks Program including discounts on health and well-being, entertainment, travel and accommodation and more Our Culture of Inclusion As an Equal Opportunity Employer, Super Retail Group strives to create an inclusive environment for all employees. We welcome applicants from diverse backgrounds to apply to any of our vacant positions. Application Interested candidates for this role should submit an up to date resume and cover letter detailing their specific skill and experience. VideoShow moreReport"
RPMGlobal3.5 ★,Software Consultant (Data Analytics),Brisbane,"$124,429",201 to 500 Employees,--,Company - Public,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),"About the Role RPMGlobal is currently seeking an experienced Software Consultant to join our Brisbane CBD office. The Software Consultant will be responsible for providing support to the implementation of RPM software products within our Operational Data Product Suite with a specific focus on data, business intelligence and reporting. You will apply your experience, including previous experience in interacting with and managing production datasets, to provide technical software support to RPM clients during software implementations. The role is full-time, based out of our Brisbane CBD location. Domestic and international travel is a requirement of this role. Key Responsibilities  Work as part of the global team on software implementation projects. Ensure client requirements are adequately defined and recorded. Verify the scope of work and deliver outcome on time. Conduct client presentations and training. Design and develop improvements to drive the best software for clients. Onsite and offsite implementation projects.   About You  Tertiary Qualification in Information Technology. Experience in implementing and maintaining data driven software to provide value for clients. The ability to communicate complex solutions to a variety of customer stakeholders, from technical to non-technical. A strong background in SQL databases and query design. An understanding and interest in Business Intelligence reporting tools, specifically Power BI. Strong command of the English language in both verbal and written form. Must be legally entitled to work in Australia. Willingness to learn.   About RPM  RPMGlobal is the mining industry’s leading advisory and consulting, enterprise technology and training provider and has been at the forefront of change and innovation in the mining industry for over 50 years.  We advance the mining industry towards a safer, more efficient and more sustainable future through the delivery of innovative software solutions and deep domain mining expertise. Guided by our underlying principles of mining expertise, innovation and sustainability, we strive to create safer, more efficient and more sustainable operations for our mining customers. Our focus on providing advanced mining advisory and consulting, enterprise technology and training across the mining lifecycle, enables us to guide customers through the current and emerging challenges the industry faces worldwide. This includes helping them meet the shift in social norms and consumer and investor ESG related expectations.  Please, no agencies or recruiters. #LI-BR1Show moreReport"
Affinity Education Group3.9 ★,Commercial Analyst,Brisbane,"$184,255",1001 to 5000 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,"Job no: 511568 Work type: Full Time Location: Brisbane Categories: Finance  Why work for Affinity?  Affinity Education Group (AEG) is a leading early education and childcare provider, currently operating more than 220 centres across Australia, and over 5,500 staff. Our goal is to instill a lifelong love of learning in every child who attends our centres in their first five years. We believe all our staff contribute to creating a sense of belonging through cooperation, teamwork, and winning attitudes. In addition, we’re dedicated to providing a safe environment for our families, staff and communities through our professionalism and respect for one another.  Who we are:  We offer a professional yet fun environment when interacting with our families, communities, and staff and live by our Affinity Values – Creating Shining Stars, Deliver Outstanding Professionalism, Being Completely Connected, Going Above and Beyond, Living the Team Spirit and Having Serious Fun! What we’re looking for:  This position is responsible for partnering with operations and marketing to provide expert advice, analysis, ongoing support, and guidance to drive performance and profitability of AEG business.  The role:  Maximise revenue through analysis of our customers and competitors Work collaboratively formulate and execute targeted strategies based on detailed analysis Review P&L’s, providing insights and recommendations to improve profitability Assist with the implementation of yearly child care fee increases ensuring timely input from all business units Assist with the preparation and implementation of the annual budget Provide financial information, analysis and direction on centre operations that require attention from key stakeholders Provide strategic, forward looking financial insights for the business to help drive growth Deliver cost efficiencies through improved visibility, wage control, roster analysis and optimisation recommendations Provide expert advice and guidance to support ongoing coaching and financial management capabilities across the business Scope and brief new performance reports in Tableau to facilitate user self-service reporting and analysis  About you:  Proven experience in a data/analytics/effective forecasting/results driven capacity Service industry experience analysing profitability and driving profit growth Commercial Management / Financial Analyst experience highly desirable Advanced excel skills Ability to think outside the square and consider impacts or solutions to the wider business in order to make the complex simple. Ability to build and maintain excellent working relationships. Excellent organisational and time management skills with an ability to prioritise and manage competing workloads and priorities. Can work independently and creatively as well as being an effective team player Adaptability and flexibility to changing work environments and requirements  Benefits:  Attractive salary package Brand new Brisbane CBD office Flexible working arrangement 50% discount on childcare gap fees Fitness and Lifestyle Group memberships A professional culture and supportive work environment Career advancement opportunities   AEG encourages applications from Aboriginal and Torres Strait Islander origin, LGBTIQ+ communities and from diverse cultures, language groups, and people with disabilities.  Permanent Full-time position, Monday to Friday, 38 hours per week, based in Brisbane (CBD).   Feel positive. Feel proud. Make new friends. IT’S YOUR TIME TO SHINE - !  Advertised: 10 Nov 2023 E. Australia Standard Time Applications close: 08 Dec 2023 E. Australia Standard TimeShow moreReport"
Queensland Health3.7 ★,Data Analyst,Mackay,,5001 to 10000 Employees,--,Government,Healthcare Services & Hospitals,Healthcare,$10+ billion (USD),"Your opportunity   To provide high level data reporting and analysis to support operational and strategic plans by the Mackay Hospital and Health Service. Integrate data from a range of health information systems to provide meaningful reports for clinicians and managers in an Activity Based Funding environment.  About the Team The Finance Department consists of Financial Accounting and Strategic Accounting. Strategic Accounting includes Management Accounting and Activity Based Costing and Funding. The team provides routine and ad-hoc information, analysis and advice for various stakeholders such as the Executive, service directors, business managers and clinicians. Mackay Hospital and Health Service has six hospitals, two multi-purpose health services and four community health centres that employ more than 3,700 staff. The district covers an area of approximately 90,000km2 and provides services to patients and their families in Bowen, Cannonvale, Clermont, Collinsville, Dysart, Glenden, Mackay, Middlemount, Moranbah, Proserpine and Sarina. Benefits of working for Mackay HHS   Remuneration - Competitive packages with salary packaging options available. Superannuation - Up to 12.75% employer contribution. Annual leave loading - 17.5%. Employee assistance and peer support programs - Supporting our staff through difficult times. Wellbeing programs - Variety of initiatives available to suit all interests and lifestyles.  How to apply For full details of this role and how to apply, please refer to the attached Role Description. Mandatory vaccination requirements   Vaccinated against, and remain vaccinated against, vaccine preventable diseases Measles, Mumps, Rubella (MMR), Varicella (Chicken Pox), Pertussis (Whooping Cough), Hepatitis B.  For more information on your vaccination requirements should you be the successful applicant for this role, please refer to the Queensland Health employment directives.This work is licensed under a Creative Commons Attribution 3.0 Australia License.Show moreReport"
