job_title,salary,company_size,company_type,company_industry,company_sector,company_revenue,company_name,company_rating,state,python,SQL,excel,tableau,power_bi,math,machine_learning,statistics,presentation,reporting,company_age,senior
EMPO Reporting Analyst,120000.0,51-200,Company - Private,,,,Bluefin Resources,4.0,NSW,0,0,1,0,0,0,0,0,0,1,,0
Junior Data Business Analyst | Commodities and Global Markets,108167.0,>10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),Macquarie Group Limited,4.0,NSW,0,0,1,0,0,0,0,0,0,0,54.0,0
Business Analyst,90000.0,,,,,,ETM Group Holdings Pty Ltd,,NSW,0,0,0,0,0,0,0,0,0,0,,0
Data & Reporting Analyst,78772.0,1001-5000,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$2 to $5 billion (USD),TPG Telecom,4.0,NSW,0,1,1,0,1,0,0,0,0,1,3.0,0
Data Analyst - Remote,118761.0,,Government,Energy & Utilities,"Energy, Mining, Utilities",,Sydney Water,3.5,NSW,1,1,0,0,1,1,0,0,0,1,,0
Supply Chain Data Analyst,74673.0,1001-5000,Company - Public,Advertising & Public Relations,Media & Communication,$2 to $5 billion (USD),Elders,4.0,NSW,0,1,1,0,1,1,0,1,0,1,,0
Data Analyst,135950.0,>10000,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),Zurich Insurance,4.3,NSW,0,0,0,0,0,0,0,0,0,1,151.0,0
Data Business Analyst,80000.0,>10000,Company - Public,Advertising & Public Relations,Media & Communication,$10+ billion (USD),WPP,3.6,NSW,0,0,1,0,0,0,0,0,0,0,38.0,0
Data Analyst,100995.0,>10000,Company - Public,Banking & Lending,Finance,$5 to $10 billion (USD),Commonwealth Bank,3.9,NSW,0,1,0,0,0,0,0,0,0,0,112.0,0
Junior Market Risk Analyst,89346.0,5001-10000,Company - Public,Energy & Utilities,"Energy, Mining, Utilities",$10+ billion (USD),Origin Energy,3.4,NSW,0,0,1,1,0,1,0,0,0,1,,0
Data Visualisation Analyst,92927.0,1001-5000,Company - Public,Real Estate,Real Estate,$100 to $500 million (USD),REA Group,4.2,NSW,0,1,0,1,0,0,0,0,0,0,28.0,0
Data Analyst in Sydney,105981.0,1001-5000,Company - Public,Computer Hardware Development,Information Technology,$100 to $500 million (USD),WiseTech Global,4.2,NSW,1,1,0,1,1,0,1,1,1,1,29.0,0
Data Analyst (Contract),101956.0,201-500,Company - Private,Pet & Pet Supplies Stores,Retail & Wholesale,,Pet Circle,3.2,NSW,1,1,1,0,0,1,0,1,0,0,12.0,0
Data Analyst,92927.0,1001-5000,Company - Public,Real Estate,Real Estate,$100 to $500 million (USD),REA Group,4.2,NSW,1,1,0,1,0,0,0,0,0,1,28.0,0
Data analyst,98500.0,501-1000,Non-profit Organisation,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,,The Garvan Institute of Medical Research,3.6,NSW,1,1,1,1,1,0,0,0,0,1,,0
Funding Support – Data Optimisation Analyst,97800.0,>10000,Company - Private,Healthcare Services & Hospitals,Healthcare,$5 to $10 billion (USD),Bupa Dental Care,3.5,NSW,0,0,1,0,0,0,0,0,0,1,76.0,0
GLS Data Analyst,103235.0,201-500,Company - Private,,,,Questas Corporate,2.6,NSW,0,1,1,0,1,0,0,0,0,1,,0
Junior Reporting Analyst,79032.0,501-1000,Government,National Services & Agencies,Government & Public Administration,,NSW Government -icare,4.1,NSW,0,0,0,0,0,0,0,0,0,1,,0
Data Analyst,145350.0,,,,,,Intellipro Australia Pty. Ltd,,NSW,1,1,0,0,0,0,0,0,0,0,,0
Data & Reporting Analyst,133000.0,51-200,Company - Private,HR Consulting,Human Resources & Staffing,,Aurec,4.3,NSW,0,1,0,0,1,0,0,0,0,1,21.0,0
Commercial Analyst,70000.0,201-500,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),BRITISH AMERICAN TOBACCO AUSTRALIA LIMITED,4.0,NSW,0,0,1,0,1,0,0,0,1,1,121.0,0
Data Analyst | Corporate Operation Group,92195.0,>10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),Macquarie Group Limited,4.0,NSW,1,1,1,0,0,0,0,0,0,1,54.0,0
Data Analyst,120074.0,>10000,Company - Public,Investment & Asset Management,Finance,$5 to $25 million (USD),ING,4.1,NSW,1,1,1,0,0,0,0,0,1,1,123.0,0
Schedule and Data Analyst,146233.0,>10000,Company - Private,Travel Agencies,Hotel & Travel Accommodation,$10+ billion (USD),dnata catering,3.4,NSW,0,1,1,0,1,0,0,0,1,1,,0
Data & Insights Analyst,83666.0,1001-5000,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$2 to $5 billion (USD),TPG Telecom,4.0,NSW,0,1,0,0,0,0,0,1,0,1,3.0,0
BI Business Analyst,111907.0,5001-10000,Company - Public,Wholesale,Retail & Wholesale,$10+ billion (USD),Metcash,3.2,NSW,0,1,0,0,0,0,0,0,0,0,103.0,0
