company,job_title,location,salary,company_size,company_founded,company_type,company_industry,company_sector,company_revenue,job_description
Bunzl3.6 ★,Graduate Data Scientist/Analyst,Mulgrave,"$134,036",5001 to 10000 Employees,1981,Company - Public,Taxi & Car Services,Transportation & Logistics,Unknown / Non-Applicable,"Job no: 494219 Work type: Full Time Location: Mulgrave Categories: Accounting & Finance, Operations  WHY BUNZL?  As one of the world’s largest providers of product distribution and value-added services across the Facilities Management, Hospitality, and Healthcare sectors, the opportunities we provide our global team of some 22,000 talented people is endless. Ours is a culture of bringing out the best in people. And we do this with a strong entrepreneurial spirit, a firm commitment to training and development, and dedicated leaders who believe that every day is a new day to see new opportunities.   YOUR ROLE  As a Graduate Data Scientist/Analyst at Bunzl, you'll dive into the world of advanced analytics, report building, and financial analysis. You will:  Develop and deploy cutting-edge AI/ML solutions to optimize our business processes. Create advanced analytics that seamlessly integrate with Power BI and other core business systems, tailored for our internal clientele. Design and implement efficient data structures and SQL code for complex aggregations and calculations to support our advanced analytics architecture.  This is an entry-level role, but we don't hold back on responsibilities. Your first year is meticulously structured to provide you with supporting skills crucial for building and deploying sophisticated data science and ML solutions. You'll gain hands-on experience with SQL, ETL, and Power BI, along with an intimate understanding of our technical environment. As you progress, you'll not only build vital skills but also forge strong relationships with the internal stakeholders for whom you create solutions.   ABOUT YOU  You're a recent graduate with a degree in Data Science, Analytics, Data Engineering, or a related field, ready to tackle real-world problems with your EDA expertise, hypothesis development, and data set preparation skills. You have a foundational understanding of AI/ML techniques and can write production-ready code. Even if you're new to Power BI and SQL, your willingness to learn is what sets you apart.  Your knack for understanding standard financial concepts is matched by your enthusiasm to learn more. You're not just joining us; you're committing to a 12-month journey that will prepare you for the challenges and demands of data science within a bustling corporate environment.   BENEFITS  Bunzl offers a broad and flexible range of benefits to our team including profit share scheme for eligible employees, health insurance products, travel and accommodation discounts, study assistance, many wellbeing and community programs and access to thousands of discounts through Perkbox.   WHY BUNZL?  Bunzl Asia Pacific (APAC) is a leader in the marketing and distribution of a diverse non-food consumable product range across a wide variety of industry sectors. We supply cleaning and hygiene supplies and catering equipment to personal protection equipment and healthcare consumables just to list a few. Our main goal is to support businesses all over the world with the essential products needed to successfully operate their business, with a particular focus on sustainability. Many people use a Bunzl product every day of their lives without even knowing it!   WE BELIEVE  With an entrepreneurial spirit providing endless opportunities, we believe that together we can achieve anything. We believe that through diversity we build strength and stability, and that the safety and security of our employees is not negotiable. Through innovation we find solutions, with an entrepreneurial spirit providing endless opportunities, and we believe that together we can achieve anything. Investing in our local communities is the right thing to do, and here in Australia that investment is building a sustainable environment for our staff, customers and those who follow.   WE WELCOME ALL  At Bunzl we believe that through diversity we build strength and support the principle of equality and diversity in employment. We oppose all forms of unlawful or unfair discrimination on the grounds of age, disability, sex, gender reassignment, sexual orientation, pregnancy and maternity, race, religion or belief and marriage and civil partnerships. We believe that it is in the company’s best interests and those of all who work in it, to ensure that the human resources, talents and skills available throughout the community are considered when employment opportunities arise. If you have a disability or special need that requires support or adjustments to working or interview arrangements, please let us know.   APPLY  At Bunzl, we believe that when you join our team, your potential is endless. Because at Bunzl… We believe in you! If you like the sound of this, then we definitely want you on our team. Applications close 30 April.  We are a Circle Back Platinum Employer – we commit to respond to every applicant.  No Agencies please.   Advertised: 08 Nov 2023 AUS Eastern Daylight Time Applications close: 30 Nov 2023 AUS Eastern Daylight TimeShow moreReport"
Australian Government4.1 ★,Data Analyst,Melbourne,"$86,807",Unknown,--,Government,National Services & Agencies,Government & Public Administration,Unknown / Non-Applicable,"APS Level 5 Canberra, ACT; Melbourne, VIC; Adelaide, SA; Perth, WA $83,908 - $89,706  About the Department of Education We contribute to Australia's economic prosperity and social wellbeing by creating opportunities and driving better outcomes through access to quality education and learning.  The Role Are you motivated to use and develop your data or quantitative skills while improving outcomes for all Australians?  We are looking to place candidates across a range of data analyst positions. Data Analysts in our Analysis, Data and Measurement branch work with a broad variety of data, from surveys through to administrative data.  The work includes early childhood education and care through to the university sector, including using integrated data from other agencies. The Data Analyst works on the analysis and evaluation of educational measures, supports the administration of programs, develops and maintains code and models, uses economic, behavioural and educational frameworks to support policy development, and influences Ministers and other key decision-makers through reports and briefings.  If you are enthusiastic about using data and analytical skills for positive impact and looking to advance as a data professional, this role could be for you!  Duties and Responsibilities Responsibilities of the APS Level 5 Data Analyst may include:  support and execute the design and delivery of data analysis projects that provide exploratory, descriptive, and insights across early childhood, school, and higher education liaise and report findings to internal and external stakeholders, including preparing visualisations and written reports analyse and apply a wide range of data frameworks to support policy development and educational measures work both independently and as part of a team to achieve goals. How to Apply To apply for this position, please submit your application in our online recruitment system. You will need to: Provide a summary (no more than 500 words) that outlines your skills, knowledge, and experience and why you should be considered for this vacancy. You should take into consideration the position overview (including any detailed position specific requirements) when drafting your response. Where possible include specific relevant examples of your work. Upload your Resume Provide contact details for 2 Referees. The APS work level standards are structured to clearly differentiate between the work expected (i.e. responsibilities and duties) at each classification level. We encourage you to review these when writing your application.  Eligibility Citizenship - to be eligible for employment with the Department, you must be an Australian Citizen or, in limited circumstances, in the process of obtaining it.  Security Clearance - our successful candidate is required to hold, or have the ability to obtain, and maintain a Baseline security clearance.  Please refer to the Job Information Pack for more information about the role.  How to apply for jobs in the Australian Public Service (APSC Guide) Opens in new window  Job Information Pack Opens in new windowShow moreReport"
Department of Treasury & Finance4.0 ★,Senior Data Analyst,Melbourne,"$104,739",501 to 1000 Employees,--,Government,--,--,$100 to $500 million (USD),"About us The Department of Treasury and Finance provides economic, financial and resource management advice to help the Victorian Government deliver its policies. We strive for excellence in financial and economic management to improve the lives of all Victorians. Office of Projects Victoria The Office of Projects Victoria (OPV) leads and influences excellence in project delivery so Government projects are delivered on time and on budget, and the full benefits of the investment are realised for Victorians. OPV does this by providing trusted independent advice to the Victorian Government. The organisation provides project portfolio oversight and assurance, improvements to how projects are delivered, independent advice and targeted support, training and advice to project leaders. The focus of OPVs work is on high value, high risk state infrastructure projects.  OPV's five key priority areas are: *  Project Advisory: undertaking project reviews to provide assurance of project delivery; Data and Analytics: undertaking portfolio wide monitoring and reporting; Engineering and Innovation: advancing engineering in Victoria and leading technical innovation on infrastructure projects; People and Systems: developing the skills and capability that project teams and leaders need to succeed; and Strategy and Productivity: focusing on identifying productivity opportunities in both supply chain and labour areas.  About the role This position is a fixed term opportunity until 18 June 2026 within the Data & Analytics team.  In this role you will:  Lead and undertake data analysis to support the delivery of OPV performance reporting products and key strategic projects to the Treasury Secretary and Treasurer on the performance of Victoria's major projects. Support the Department in its implementation of an Online Reporting Platform to deliver on key reporting products. Undertake analysis that provides insights on both individual project performance and performance at a portfolio level. Proactively disseminate outputs and ensure portfolio analysis is relevant to a range of Victorian State Government Departments. Establish and maintain relationships with internal and external stakeholders to inform key products and outputs. Provide a focus on timely, accurate and efficient delivery of quality outcomes and analytical products. Manipulate and interpret data to support effective decision-making processes. Work flexibly to balance priorities and overcome challenges, often under considerable time pressure. Promote good data analytics practices and a culture of evidence-based decision making.  About you DTF would like to hear from candidates who have experience in some or all of the following:   The ability to undertake complex statistical and data analysis for key projects supporting the successful delivery of major infrastructure projects in Victoria. Experience with using dashboard tools and statistical software (such as Tableau, R, PowerBI and Excel) to create insights and engaging data visualisations. Familiarity with database tools (e.g. Access, SQL, Relational or Dimension) would be helpful. Strong written and verbal communication skills with experience in writing clear, succinct briefs and reports. Excellent project management skills including an ability to work with complex (and sometimes conflicting data and evidence) to isolate key facts, analyse trends and draw implications and recommendations. Critical thinking and problem solving – objectively analyse and evaluate available data, points of view, and needs of stakeholders when completing project tasks. Interpersonal skills – build relationships and work collaboratively with a diverse range of internal and external stakeholders at all organisational levels. Communicate with impact – effectively utilise all communication mechanisms to present information in clear and engaging ways.  Experience and qualifications   A relevant qualification in Data Science, Computer Science, Economics, Finance, Project Management or Public Policy or other related discipline (desirable) Knowledge of information management systems or data architecture (desirable)  About our culture We aim to be a model employer providing an inclusive workplace that is understanding and respectful of differences such as gender, identity, race, disability or age. In addition, we are committed to supporting Aboriginal pathways between education and employment. The Department strives to create an environment that supports a flexible and adaptive workforce. All requests for flexible working arrangements will be considered in line with operational requirements. How to apply VPS employees and other JSE-eligible applicants are encouraged to apply on the Jobs & Skills Exchange (JSE) jobs board. For more information about the position and key selection criteria, please refer to the position description. If you have specific questions regarding the role, please contact Preethi Rupanagudi preethi.rupanagudi@opv.vic.gov.au 0436 342 826. To apply, select the ‘Apply Now' button and provide a copy of your resume and cover letter summarising your skills and relevant experience. Applications close at midnight, date month, 2023. If you require a copy of this advertisement in an accessible format, please contact the Careers team. Covid-19 Vaccination DTF is committed to providing and maintaining a working environment which is safe and without risk to the health of its employees and clients and consistent with the department's obligations under the Occupational Health and Safety Act 2004 (OH&S Act). To support this DTF has a COVID-19 Vaccination policy which strongly recommends all DTF employees be fully vaccinated.Show moreReport"
TPG Telecom4.0 ★,Data & Reporting Analyst,North Sydney,"$78,772",1001 to 5000 Employees,2020,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$2 to $5 billion (USD),"Exciting time to join a top 100 ASX listed business with big goals Hybrid working arrangement, mix of working from home and the office Awesome company culture and benefits This opportunity The Data & Reporting Analyst role is a critical role in the Customer Lifecycle Management team for delivering data analytics and comprehensive reporting services. As a Data & Reporting Analyst, you will be responsible for designing, building and maintaining reports, analysing data, and providing insights to improve customer lifecycle management, achieve commercial targets and identify growth opportunities, while strengthening customer relationship and growing lifetime value. You will work closely with the Product Owners and Campaign Managers to identify key performance indicators (KPIs) and ensure they are tracked and reported accurately. You will have strong Power BI and analytical skills and who is adept in pulling together and consolidating information from various sources to develop fit-for-purpose reporting solutions with a strong focus on data accuracy and storytelling. Responsibilities Extract and integrate data from a range of sources and maintain, update and enhance a range of established to meet the business needs Examine and evaluate the purpose and content of existing reports to improve existing or developing new robust dashboards and visualisation that support self-serve and provide insights that are relevant, timely and accurate Develop and maintain tailored data models for input data/metrics through Dataset relationship mapping Support key projects including process and workflow simplification, reporting automation Collaborate with internal stakeholders to align reporting to ensue consistency of metrics reported across broader functional teams Knowledge and experience Strong reporting, modelling, and scenario analysis Proven experience in developing, delivering and maintaining business intelligence reports and dashboards Advanced Power BI experience (Power BI Certificate is a bonus) Working knowledge of campaign systems such as SAS is highly regarded Competency working in a SQL-based environment and data platform such as Teradata, AWS (or similar) cloud-based data platform Proficiency in Microsoft Excel – pivot tables, index and lookup functionality, data ranging Strong analytical, critical thinking and problem-solving skills Highly developed written and communication skills with the ability to present information visually via the use of charts, maps, scorecards and interactive dashboards Self-motivated to work independently and deliver your best work in a fast-paced environment Bolder and better together! We’re all about enabling every individual to be their authentic selves and creating a place where everybody belongs. If you are excited about this role, but your experience doesn’t align perfectly with every qualification in the job description, we encourage you to APPLY NOW regardless. You may just be the right candidate for this or perhaps another similar role with us. We are a 2023 Circle Back Initiative Employer – we commit to respond to every applicant Our Talent Acquisition Team and Hiring Managers kindly request no unsolicited resumes or approaches from Recruitment Agencies. TPG Telecom is not responsible for any fees related to unsolicited resumes. #LI-Hybrid #LI-SM1 VideoShow moreReport"
Macquarie Group Limited4.0 ★,Junior Data Business Analyst | Commodities and Global Markets,Sydney,"$108,167",10000+ Employees,1969,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),"We are a dynamic change team who works collaboratively within the team and with our stakeholders to implement the global data strategy of Macquarie’s markets business.  At Macquarie, we are working to create lasting value for our communities, our clients and our people. We are a global financial services group operating in 34 markets and with 54 years of unbroken profitability. You’ll be part of a supportive team where everyone - no matter what role - contributes ideas and drive outcomes.  What role will you play?  You will support the implementation of the global data strategy across various financial products and platforms and work closely with business and technical stakeholders to identify and document data requirements. You will collaborate with business users to specify business rules to manage data quality and resolve issues according to agreed principles and governance frameworks.  What you offer  At least 2 years experience in the financial services industry or a role involving data management An interest in data and its use across the organisation Excellent analytical capacity supported by clear and concise written and verbal communication skills Focus on high quality and timely delivery, with the ability to manage multiple parallel tasks and deliverables Ability to work collaboratively within and across teams. Thrive in an environment with evolving priorities and changing needs of the business.  We love hearing from anyone inspired to build a better future with us, if you're excited about the role or working at Macquarie we encourage you to apply.  Benefits  Macquarie employees can access a wide range of benefits which, depending on eligibility criteria and location, include:  Hybrid and flexible working arrangements Wellbeing and service bonus leave Up to 20 weeks paid parental leave as well as benefits to support you as you transition to life as a working parent Paid volunteer leave and donation matching Range of benefits to support your physical, psychological and financial wellbeing  About Commodities and Global Markets  In Commodities and Global Markets you will be part of a global business offering capital and financing, risk management, market access, physical execution and logistics solutions to its diverse client base.  Our commitment to Diversity, Equity and Inclusion  The diversity of our people is one of our greatest strengths. An inclusive and equitable environment enables us to deliver innovative and sustainable outcomes for our people, clients, shareholders and communities. From day one, you'll be encouraged to be yourself and supported to perform at your best. If our purpose of ‘empowering people to innovate and invest for a better future’ is as inspiring to you as it is to us, please apply. With the right technology, support and resources, our people can work in a range of flexible ways.  We are committed to providing a working environment that embraces and values diversity, equity and inclusion. We encourage candidates to speak with a member of our recruitment team if you require adjustments to our recruitment process to support you, and the type of working arrangements that would help you thrive.   About Macquarie A career at Macquarie means you’ll have the opportunity to develop new skills, explore interesting fields and do challenging work that will impact the lives of people around the world—whether it’s accelerating the green energy transition, helping sustain global food supplies, financing social housing projects or investing in essential infrastructure. At Macquarie, we’re empowering people to innovate and invest for a better future. Macquarie is a global financial group providing clients with asset management, retail and business banking, wealth management, leasing and asset financing, market access, commodity trading, renewables development, specialist advisory, capital raising and principal investment.  Job no: CGM-975172 Work type: Permanent - Full time Location: Sydney Category: Mid-level, Junior, Data & Analytics Group: Commodities and Global Markets Division: Central Recruiter: Badrul Alam Opening Date: 09/11/2023Show moreReport"
Peroptyx2.7 ★,Data Analyst,Australia,$23.50,1 to 50 Employees,2018,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,"For thousands of years, maps have provided humans with the knowledge they need to make decisions. As a Maps Data Analyst, you will have the opportunity to provide ground truth for your town, city or country.At Peroptyx, we are looking for Data Analysts who will review mapping data for digital mapping applications. Your research capabilities will validate and ensure that the navigation of certain routes are accurate and safe.As part of this role you will verify that business names and opening hours are correct. You will check that the distance from a starting point to an end destination is listed accurately resulting in better user experiences.With this job you can plan your days around this highly flexible working schedule, work weekends or late evenings, all from the comfort of your own office. The flexibility of our roles minimizes the impact on your daily routine.So, if you're looking for a new a part-time/full time opportunity Peroptyx has the right role for you!Ideal CandidateFluent in English.Excellent research skills.Excellent local knowledge of your home country.Good understanding and general knowledge of the geography and culture of Australia.Analytical mindset.Job RequirementsMust be living in Australia for a minimum of 5 consecutive years.Must pass an online open-book exam that can verify your full understanding of the material and concepts.Must be willing to work a minimum of 10 hours and up to 20 hours per week depending on task availability.Good working knowledge of search engines, map applications and familiarity with social media platforms.Strong ability to learn, understand and apply multiple sets of different instructions.All work must be of an independent nature.Technical requirements to perform the workAccess to a laptop or computer which uses:- A logon account unique to you- Anti-virus solution that is kept up to date, with regular scans performed- Only one member per household may apply- Payment is on an hourly basis. You are required to work within the average task time.-You will need to pass an online Assessment to qualify to work. We provide tips and tricks to help you prepare but this is not mandatory to take the assessment.NB. All products should be provided at your own expense.Benefits· Work up to 20 hours per week.· Earn a competitive rate of pay.· Develop your research skills.· Avoid the long commute.· Work from the comfort of your home office.· Enjoy the flexibility of setting your own working hours!Apply Online Today!This is a freelance, independent contractor position.Job Type: Part-timePart-time hours: 10-20 per weekSalary: $23.50 per hourBenefits:Unlimited annual leaveWork from homeWork Location: In personShow moreReport"
REA Group4.2 ★,Data & Insights Analyst,Melbourne,"$78,943",1001 to 5000 Employees,1995,Company - Public,Real Estate,Real Estate,$100 to $500 million (USD),"Experience Hybrid working arrangements in a flexible environment – ex: Work from the office or home in a rhythm that suits you Sustainability - We are certified carbon neutral and committed to reducing our impact on the environment. Charities – We have long-term partnerships with charities working to address homelessness. We're REA REA Group is not your average digital business. From humble beginnings in a garage in Melbourne’s east in 1995, we have grown into a leading global digital business, specialising in property.  With bold and ambitious goals, we are changing the way the world experiences property. No matter where you're at on your property journey, we're here to help with every step - whether that's finding or financing your next home.  Our people are the key to our success. At the heart of everything we do, is a thriving culture centred around high performance and care. We are purpose driven and collaborative, which drives innovation and our ability to make a real impact. As such, we’re proud to be named in Australia’s “Top 5” Best Workplaces two years in a row, as well as being recognised as a Best Workplace for Women. Where the team fits in This role sits within Financial Services. You will be part of a team working together to solve unique challenges, like how to better connect Australian property seekers with finance and mortgage advice. The Financial Services purpose is to offer home finance and other financial services to those using realestate.com.au for their property search. Given the opportunity of the size of that audience, the FS vision is to integrate a consumer’s property search with finance though a world class digital seamless process. What the role is all about Be a champion of data, reporting, insights & analytics for the Financial Services line of business (covering our mortgage broking business Mortgage Choice, key banking partnership & digital financial experiences) Work across the entire home loans conversion funnel Leverage our data sets to generate insights that drive real business outcomes & decision-making Analyse and interpret data to identify trends, patterns, challenges and opportunities Have fun tackling interesting business problems with a data-driven and statistical/analytical mindset End-to-end delivery of automated & dynamic dashboards Play an integral role in examining, extracting, cleaning, creating, joining & managing business data sets Be a key business partner supporting a wide range of stakeholders across multiple teams (including commercial finance, technology, digital product, marketing, operations, lending partners and risk/compliance teams) Have strong stakeholder management, working with multiple stakeholders to translate data and insights into meaningful actions & solutions Enjoy a role that has the perfect blend of being a data analyst & insights analyst Who we’re looking for 3+ years of experience in creating data sets, analysing data and developing dashboards A passion for leveraging data to generate insights to tackle business problems Data analysis - experience in analysing data, identifying trends and insights Dashboarding & visualisation - building dynamic dashboards with solid UX design Good knowledge of database concepts, data warehousing and good table design Critical thinking, strong analytical & problem-solving skills A curious and inquisitive mindset – someone who is comfortable working with the ‘unknown’ Demonstrated commercial acumen and the ability to connect data insights to strategic business value Strong communication, presentation and data storytelling Advanced Excel skills Additional skills and experience that would be highly desirable: Experience in customer analytics & sales conversion funnels Digital marketing/web analytics experience (e.g. Adobe Analytics, Google Analytics) Programming knowledge (e.g. Python, VBA) Experience in Google Cloud Platform, Google BigQuery and Tableau Data engineering & data pipelines The REA experience The physical, mental, emotional and financial health of our people is something we’ll never stop caring about. This is a place to learn and grow. We’re committed to your development – both professionally and personally. Your experience with us is something we take seriously. We offer: A hybrid and flexible approach to working - https://rea.to/hybrid-working Flexible parental leave offering for primary and secondary carers Programs to support mental, emotional, financial and physical health & wellbeing Our Because We Care program offers employees volunteering leave, community grants, matched payroll giving and our Community Café donates 100% of revenue to charity. Hack Days so you can bring your big ideas to life Performance recognition programs because hard work should never go unnoticed Our commitment to Diversity, Equity, and Inclusion We are committed to providing a working environment that embraces and values diversity, equity and inclusion. We believe teams with diverse ideas and experiences are more creative, more eﬀective and fuel disruptive thinking - be it cultural and ethnic backgrounds, gender identity, disability, age, sexual orientation, or any other identity or lived experience. We know diverse teams are critical to maintaining our success and driving new business opportunities. If you've got the skills, dedication and enthusiasm to learn but don't necessarily meet every single point on the job description, please still get in touch. If you like the sound of us, then we think you should apply today. We're proud to be Circle Back Initiative Employer and we commit to respond to every applicant. While we're looking at your application, and preparing to come back to you with an update, why not get to know us a bit more through our various social channels? #LI-HYBRIDShow moreReport"
Reece Group3.4 ★,People Data Analyst,Cremorne,"$83,851",5001 to 10000 Employees,1920,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$2 to $5 billion (USD),"People Data Analyst About Reece Reece Group is a leading Australian distributor of plumbing, waterworks, and HVAC-R products to residential, commercial and infrastructure customers. We're an ASX-listed company with more than 800 branches and 9,000 employees across Australia, New Zealand and the United States. About the role This is a great opportunity to join our People Experience team, helping to identify analytics needs in the business and drive data-driven solutions. You’ll be designing, creating and maintaining dashboards and reports for HR metrics, using Visier and Power BI. As a data SME you’ll get involved in projects and initiatives providing advice on research design, data collection and statistical analysis to drive decision making. Along with this you will also be heavily involved in managing surveys that help us drive improvements in employee experience, through actionable insights. About you You are an enthusiastic, data professional who: Brings curiosity, an inquisitive nature and a growth mindset into everything you do Has an understanding of HR metrics and some experience with HRIS systems (such as Workday, SuccessFactors, Bamboo HR etc) and managing employee data Data cleaning skills; preprocessing and cleaning to ensure data quality Proficient in one or more data analysis tools like Excel, R, Python, PowerBI, Tableau, Qlik, etc. Knowledge of Statistics; an understanding of statistical techniques will be beneficial (although not mandatory). Methods like regression analysis, cluster analysis and factor analysis can provide deeper insights into people data. Committed to continuous learning and staying up to date on the latest methods in data analytics. We’d love to hear from you if you think this role could be the one for you. How can you build a career with Reece. Reece is different. We're a successful company that doesn't like to make a fuss of our success. We're a big business that works hard to retain the great things from when we were a small business. We value common sense as highly as a university degree. We encourage people to have a go and don't mind if they fail. We promote people based on performance, not age. Reece is a place where people make a real difference. And that's the secret to our success - having the right people, with the right attitude in the right roles. We're looking for the right people now. People who like people. People who like to talk but also like to listen. People who like to perform. People who can recognise an opportunity and seize it. People who are prepared to promote themselves. Read on. You will quickly discover whether you might be the right person, and whether we might be the right place for your career. If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!Show moreReport"
carsales4.4 ★,Vehicle Data Analyst,Melbourne,"$83,713",501 to 1000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$100 to $500 million (USD),"Company Description Are you ready to be a big part of something big? At carsales, we're all about making buying and selling a great experience. For 25 years we’ve been evolving with the new economy to help people choose how they move today and tomorrow. When it comes to your career, we want to provide big opportunities to help you make a big impact. But for this to be possible, we strive to feel small. Small enough to quickly change tack, small enough to learn from different departments and small enough to connect authentically with leadership. Not something you’d expect from one of the country’s biggest tech companies, is it? And one of the best parts? We give you the autonomy to choose the working location that best suits your lifestyle – Office, Hybrid or Anywhere. What’s on offer: A place where you can move your career forward, where you’ll be continuously backed to make new ideas happen, and the chance to do work that makes real, significant impact in the world. We’re proud to be recognised as one of Australia’s Best Workplaces™ by Great Place to Work®, an AFR BOSS Best Place to Work, a Family Friendly Workplace, and WGEA Employer of Choice for Gender Equality. The support of a highly engaged, high-performing team including a leadership team that you’ll actually have face time with. 18 weeks paid parental leave for primary caregivers, four weeks paid secondary caregivers leave, six weeks paid gender affirming care leave.  Job Description What you will do RedBook is the leading provider of vehicle identification and pricing data services in Australia. We have been researching the automotive market for over 70 years, and are a trusted business partner within the auto, finance, and insurance industries. This is your opportunity to join the RedBook Pricing and Insights team as a Vehicle Data Analyst. This team looks after everything to do with vehicle valuation services, from current used vehicle pricing to residual value forecasts. Apply effective statistical modelling and advanced data analysis techniques to generate accurate vehicle forecast residual values and uncovering meaningful patterns, trends, and insights, particularly around vehicle pricing. Apply your expertise in writing SQL queries and working with APIs to manipulate and extract data from our diverse and sometimes-complex sources. Hands-on data extraction and data wrangling from internal and external systems. Effectively communicate complex data, ideas, and insights via appropriate reports, visualisations, and dashboards. Make findings and insights accessible to the relevant audience considering their data literacy – for both internal stakeholders and external customers. Become a subject matter expert on RedBook’s vehicle pricing, identification, and specification data & services, as well as the new and used vehicle market, with a particular focus on current and future vehicle values.  Qualifications What we are looking for Demonstrated inclusive and interpersonal attributes that connect you to our behaviours (we change the game, we own it, we step in, we are curious, we don’t take ourselves too seriously). Solid understanding of the automotive industry, vehicle financing, sales operations, and new/used vehicle market dynamics is highly desirable. Experience developing predictive models. valuation tools or risk models using complex data to predict future trends. Prior experience in residual value forecasting and asset valuation would be highly desirable. Proficiency in querying and ingesting data from relational databases (especially SQL Server & Postgres) and APIs. Experience in one or more programming languages suitable for data analysis such as Python or R, and good knowledge of popular libraries for data ingestion, manipulation, analysis, and visualisation. Experience with proprietary reporting & data visualisation tools such as Tableau, PowerBI, or similar. Excellent analytical and problem-solving skills, with a demonstrated aptitude for identifying trends and insights from data. Additional Information A few other things we want to let you know about... carsales is an equal opportunity employer and we pride ourselves on fostering a diverse and inclusive workplace. We encourage everyone of all ages, genders and backgrounds to apply. If you’re a candidate with a disability or you need some adjustments to be at your best, let us know how we can provide you with additional support. We know how important keeping that balance between work/life is and have a range of flexible working options on offer, including part time work. We are open to this conversation during our recruitment process - if you want to know more just ask. We are a proud Circle Back Initiative Employer which means we are committed to responding to every job applicant. Successful candidates joining the carsales family are required to undergo a National Police Record check and must have full-time Australian working rights on an ongoing basis. So come and join our team - because every role is a big role in our plans to go big.Show moreReport"
Luxury Escapes4.1 ★,Data Analyst,Southbank,"$129,678",201 to 500 Employees,2013,Company - Private,Travel Agencies,Hotel & Travel Accommodation,$100 to $500 million (USD),"Luxury Escapes is one of the world's fastest growing travel businesses, reaching up to 6 million subscribers each month with exclusive limited time offers at 'insider' prices. Here at Luxury Escapes, our mission is to delight our customers with incredible deals for the world's best holidays. We are a collective of forward-thinking people, driven to challenge the travel industry and ourselves to bring ever better travel experiences to our customer community. Our award winning employee experience is king here having been recognised as ""One of the Best Places to Work' by the AFR in both 2021 and 2023, with weekly events, monthly recognition programs and significant professional development opportunities we do what we can to make you look forward to waking up every day! We are now seeking a highly skilled and analytical Data Analyst who will be support our marketing activities. Playing a crucial role in driving data-driven decision-making, measuring marketing campaign effectiveness, and optimizing marketing strategies; your expertise in data analysis and reporting will be instrumental in supporting our performance marketing initiatives, enabling Luxury Escapes to maximize ROI and achieve business goals. Please note, it is essential that you have extensive commercial SQL experience to be successful in this role. You will be responsible for: Data analysis in relation customers and performance marketing channels including conversion data, customer journeys, funnel analysis, and attribution as well as the modern data and analytics technology stack with emphasis on Google Analytics, AppsFlyer, Snowplow, Tableau and Looker (Data Studio). Collect, clean, and analyse marketing data to extract valuable insights and identify trends. Develop and maintain dashboards and reports to track key performance indicators (KPIs) for marketing campaigns. Provide regular performance reports to stakeholders, highlighting key findings and actionable recommendations. Conduct A/B testing and multivariate analysis to optimize ad creatives, targeting, and bidding strategies. Analyse user behaviour across marketing channels to identify opportunities for conversion rate optimization. Track and report on funnel performance metrics, including acquisition, activation, retention, and revenue. Collaborate with cross-functional teams to implement strategies for improving funnel efficiency. Ensure data accuracy and integrity by implementing data governance processes and performing regular data audits. Generate actionable insights and recommendations based on data analysis to support strategic decision-making. What we are looking for: Bachelor's degree in Mathematics, Statistics, Economics, Computer Science, or a related field. A postgrad degree would be highly regarded . Commercial experience as a Data Analyst or similar role within the performance marketing domain. Strong analytical skills with expertise in data manipulation, analysis, and visualization using tools such as SQL, Python, R, or Excel. Proficiency in data visualization tools: Tableau, Google Looker (Data Studio). Experience with performance marketing platforms, such as Google Ads, Facebook Ads Manager, or Adobe Analytics. Strong attention to detail and a commitment to data accuracy. Excellent communication and presentation skills, with the ability to effectively convey complex information to both technical and non-technical stakeholders. Please note we use SQL extensively, so require excellent SQL skills What's in it for you? Competitive remuneration package First class health and well-being program including annual vaccinations, yoga, meditation, gym discounts a, daily breakfasts and lunches provided 4 days a week. Fun working environment: Friday afternoon onsite gatherings (wine included!) and monthly celebration & recognition programs Discounted travel, birthday leave and a whole lot more! If this sounds like you and you feel you have the skills and experience to meet the requirements of the role, please apply online today! At Luxury Escapes we embrace diversity in our people and make hiring decisions based on experiences and skills. We do not discriminate based on gender identity, religion, race, national origin, sexual orientation, age, marital status, or disability status. You'll find a collaborative, inclusive, and respectful workplace here at Luxury Escapes, and we are proud to celebrate who you are. Please let us know if you require any reasonable adjustments during the interview process. We are a 2023 Circle Back Initiative Employer – we commit to respond to every applicant.Show moreReport"
