company,job_title,location,salary,company_size,company_founded,company_type,company_industry,company_sector,company_revenue,job_description
Hudson Australia4.0 ★,Data Analyst,Adelaide,$49.00,501 to 1000 Employees,1985,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,"We're looking for a Data Analyst with expertise in PowerBI & MS Excel to with a youth services department in State Gov.  3-month contract opportunity Part-time, 7-days a fornight $48-$50 ph + Super Located in Adelaide CBD (4 days on-site, 1 from home)  As a Data Analyst, you will:  Possess the capability to analyze and evaluate datasets and prepare a current state analysis. Exhibit proficiency in utilizing Excel to store and analyze data, including working with formulas and manipulating data. Contribute to and participate actively in ongoing project reporting requirements. Conduct qualitative and quantitative analysis as an integral part of the design process. Create and maintain pertinent project and design documentation. Validate and oversee data and reports to ensure consistency and accuracy. Collaborate with the team to adopt and implement recommended practices for complying with data and information management standards. Demonstrate problem-solving skills by applying judgment and critical thinking. Showcase previous experience in the government sector, including work within small teams.  We encourage you to apply if your experience includes:  Minimum 2-5 years of recent experience working across Business / IT environments as a Data Analyst Proficient understanding of researching and analyzing both flat file and database datasets. Demonstrate expertise in utilizing Microsoft Excel to analyze data and consolidate findings, incorporating the use of formulas, pivot tables, and PowerQuery / PowerPivot. Exhibit experience in creating and maintaining pertinent project and design documentation, such as dataset catalogs, source to target mappings, use cases, and conceptual data models. Showcase a proven ability to effectively engage and collaborate with a diverse range of stakeholders, working seamlessly as part of an agile, multidisciplinary government team. Demonstrate excellent written and verbal communication skills.  NOTE: Working with Children's Check (WWCC) is a prerequisite for this role. Our Hiring Process:  Registration: Applying to this job ad will register you with our Talent Community, who will gather essential information about your skills and experience. Skill Assessment: We'll assess your skills and qualifications against our current client requirements as well as future job opportunities. Job Matching: Once we find a match, we'll connect you with our Talent Specialists who are looking for people with your expertise for our Clients. Interviewing & Onboarding Assistance: We provide interview support for our candidates meeting with our Client as well as onboarding support to ensure a smooth transition into your new role upon selection. Performance Feedback: We value your feedback and regularly assess your performance to improve your experience.Show moreReport"
Ahrens Pty Ltd3.4 ★,Data & BI Analyst,Australia,,201 to 500 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,"About the Company Ahrens’ renowned reputation in Engineering, Manufacturing & Construction is set to soar with our company ‘Gearing for Growth’ across our national and international business footprints. Be part of the ‘Extraordinary & Rewarding’ journey of our 120-year-old, fifth-generation family-owned company as we strive to hit our next milestone revenue benchmark. About the Role Due to continued growth, we have an opportunity for a Data and Business Intelligence (BI) Analyst to j oin the team. The Data & BI Analyst is a newly created position that will be responsible for driving the increased use of data analysis, modelling, and advanced reporting to solve business problems and provide meaningful insights that enhance decision making. This role will assist with the development of a broader data management strategy that supports the Group’s growth plans, including identifying and recommending suitable systems to provide capabilities such as data lakes, data warehouses, cubes, analysis tools, and dashboarding platforms. Key Responsibilities Working with the Business Applications Manager, support a broad range of reporting, dashboarding, and data analysis systems Be recognised as the go-to specialist in data analytics and business intelligence Assist in the identification, design, justification, and implementation of data management, reporting, and dashboard platforms Work closely with senior leaders to provide data analytics, reporting, and dashboards that provide meaningful insights into their business functions Contributing to the development of data analytics, reporting, and business intelligence roadmaps and strategies Provide training to internal staff on using reporting platforms and dashboards Keep abreast of advances in data analytics and business intelligence that will provide additional value to Ahrens  Skills and Experience Strong experience in using data analytics and business intelligence systems for financial modelling and reporting Experienced in analysing data from multiple sources to provide insights that can be used effectively by decision makers Experienced in managing and supporting data lakes, data warehouses, cubes, and related platforms Experienced in training staff to use modelling and reporting systems Excellent communication skills (both written and oral) Excellent attention to detail when delivering outcomes to the business Ability to manage and prioritise work effectively within a fast-paced organisation Self-motivated and passionate about using data to provide insights to the business Demonstrated experience working in a close-knit team to support a large organisation Excellent problem solving skills and the ability to make decisions independently  Why Work at Ahrens We are continually evolving and investing in our people and facilities to achieve satisfying outcomes. We strive for a positive and supportive team culture which embraces diversity and innovation, and aligns with our core values including commitment, integrity and safety. In return we reward those who passionately work towards realising our vision. Benefits Employee Assistance Program, supporting you and your family’s health & wellbeing Discounts to some of Australia’s leading corporate partners in private health insurance, gyms, travel, clothing, vehicles and more Generous paid parental leave entitlements to support you and your family Annual Employee Donation Scheme to support a charity/cause of your choice Family, social and team building events Opportunities for career progression Friday afternoon team bonding  How to Apply To apply submit your updated resume and cover letter, further enquiries can be directed to Anja Hajdin, HR Coordinator on 08 8521 0083 or via email to ahajdin@ahrens.com.au Ahrens is Equal Opportunity employers who recognise the value in a diverse workforce. We are dedicated to promote an inclusive workplace and encourage applications from all genders and people of Indigenous backgrounds .Show moreReport"
Stratco3.8 ★,Master Data Analyst,Gepps Cross,"$61,795",Unknown,1948,Company - Private,Wholesale,Retail & Wholesale,Unknown / Non-Applicable,"National leader in Australian Retail & Manufacturing Maintain costing data for manufactured products Attractive Package Whilst manufacturing is our foundation, our team is our future. With more than 70 years' experience in the building and home renovation markets, Stratco has become one of the largest producers and marketers of quality building and home improvement products and is actively pursuing a place on the world stage. Stratco now has state of the art manufacturing facilities in all mainland states of Australia along with a network of home improvement stores throughout the country. An opportunity presents for an analytical and technically oriented professional to join our head office team in Gepps Cross. Reporting to the Group Costing Manager and working as part of a tight-knit team, you will initially be involved in the maintenance of costing and product related data. As your skills develop, you will contribute to the design and development of costing and other master data-related systems. Key responsibilities: Maintain costing data for manufactured products Ensure accuracy of cost calculations of all products and related system data Perform analysis in response to requests Conduct special analysis and/or investigations of business data to support operational and management decision making processes Perform routine data maintenance in our extensive product databases Make recommendations in regards to system changes and improvements Contribute to the preparation of costing policy and procedure documentation Skills, Experience & Attributes: Excellent written and verbal communication skills Degree qualification in an Engineering or Business discipline Experience in a commercial/manufacturing environment is desirable Passion for numbers and data Highly proficient Excel spreadsheet skills Familiarity with database techniques An inquiring mind with attention to detail and a high degree of accuracy Understanding of computer programming techniques and structures is desirable Experience in Oracle and/or a manufacturing environment will be highly regarded Candidates with a background in production scheduling or engineering are encouraged. Culture & Benefits Stratco has established an environment that brings out the best in our people. We believe in building careers through providing a safe, connected, and innovative culture that supports ongoing growth and development. We offer industry-leading benefits such as specialised development programs, innate health and wellbeing initiatives, family friendly work practices and Stratco retail discounts. Stratco aims to push you to utilise your existing skills whilst developing further capabilities. If you are looking to become part of a close-knit team where you will have the opportunity to demonstrate creativity in system development and interact with all levels of the business, then we would like to hear from you by selecting the “Apply Now” button below. Apart from offering top career opportunities, support and training, Stratco offers you a great place to work. Apply Now!Show moreReport"
Peroptyx2.7 ★,Data Analyst,Australia,$23.50,1 to 50 Employees,2018,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,"For thousands of years, maps have provided humans with the knowledge they need to make decisions. As a Maps Data Analyst, you will have the opportunity to provide ground truth for your town, city or country.At Peroptyx, we are looking for Data Analysts who will review mapping data for digital mapping applications. Your research capabilities will validate and ensure that the navigation of certain routes are accurate and safe.As part of this role you will verify that business names and opening hours are correct. You will check that the distance from a starting point to an end destination is listed accurately resulting in better user experiences.With this job you can plan your days around this highly flexible working schedule, work weekends or late evenings, all from the comfort of your own office. The flexibility of our roles minimizes the impact on your daily routine.So, if you're looking for a new a part-time/full time opportunity Peroptyx has the right role for you!Ideal CandidateFluent in English.Excellent research skills.Excellent local knowledge of your home country.Good understanding and general knowledge of the geography and culture of Australia.Analytical mindset.Job RequirementsMust be living in Australia for a minimum of 5 consecutive years.Must pass an online open-book exam that can verify your full understanding of the material and concepts.Must be willing to work a minimum of 10 hours and up to 20 hours per week depending on task availability.Good working knowledge of search engines, map applications and familiarity with social media platforms.Strong ability to learn, understand and apply multiple sets of different instructions.All work must be of an independent nature.Technical requirements to perform the workAccess to a laptop or computer which uses:- A logon account unique to you- Anti-virus solution that is kept up to date, with regular scans performed- Only one member per household may apply- Payment is on an hourly basis. You are required to work within the average task time.-You will need to pass an online Assessment to qualify to work. We provide tips and tricks to help you prepare but this is not mandatory to take the assessment.NB. All products should be provided at your own expense.Benefits· Work up to 20 hours per week.· Earn a competitive rate of pay.· Develop your research skills.· Avoid the long commute.· Work from the comfort of your home office.· Enjoy the flexibility of setting your own working hours!Apply Online Today!This is a freelance, independent contractor position.Job Type: Part-timePart-time hours: 10-20 per weekSalary: $23.50 per hourBenefits:Unlimited annual leaveWork from homeWork Location: In personShow moreReport"
Chandler Macleod3.6 ★,APS6 Business Analyst - Adelaide CBD,Adelaide,$60.26,1001 to 5000 Employees,1959,Company - Private,HR Consulting,Human Resources & Staffing,$2 to $5 billion (USD),"Chandler Macleod is an equal opportunity employer as part of our commitment to creating a diverse and inclusive workplace, Aboriginal and Torres Strait Islander people, people living with disability, and culturally and linguistic diverse candidates are always encouraged to apply.  ***Mandatory: Australian Citizenship required to work within Federal Government***  ****Applications close by 9am Thursday 23rd of November 2023.****  Our Federal Government client is seeking to engage APS6 Business Analyst for a 12 month assignment with potential extension in ADELAIDE CBD  About the Team The Performance Management and Quality Branch influences a high quality end to end participant experience through delivery of Continuous Improvement (CI), a Quality Management Framework (QMF) and Performance Management activities. The branch reviews the consistency and quality of operational activities against standards, procedures and practices across the end-to-end participant value chain.  The branch is responsible for identifying key trends and insights and sharing these with Participant Experience Delivery (PED) to drive improvements in performance and quality, utilising a Continuous Improvement framework. The branch facilitates an uplift in staff capability through Learning and Development activities for PED staff which is monitored and evaluated through evidence based practice to ensure embedment.  About the Role The APS6 Business Intelligence Analyst is accountable under limited direction to undertake complex work that is guided by legislation, policies, procedures, standards, methodologies and precedents.  The position will provide detailed technical, professional, policy, operational support and advice in relation to complex problems. It may be required to coordinate and assist in the strategic planning, program and project management and policy development that support the NDIA’s objectives to “build a world-leading National Disability Insurance Scheme”.  The APS6 Business Intelligence Lead will work with key business areas in the development and implementation of consumable reports and analytics to address key risks and emerging trends.  Key skills:  Critical thinking Problem Solving Teamwork/collaboration Project Management management Intermediate/Advanced Excel  Desirable criteria:  Understanding of data governance Understanding large organisation interdependencies Power Automate Power Query Qualifications in data analysis, data science, statistics, computer science or mathematics  Responsibilities may include but are not limited to:  Undertaking data analytics and reporting, producing reports using standard statistical techniques. Extracting and presenting data in Microsoft Excel and result comparison chart formats. Drafting communication pieces and presenting business insights and recommendations. Coordinating branch reporting requirements to monitor and track improvement outcomes. Undertaking quality assurance processes, including sample audit programs and reports, quality trend analysis and outcomes analysis. Implementing and managing processes and management systems to track branch and Partner performance.  (NOTE: the key responsibilities of the role are based on current priorities and may change over time)  It is highly desirable that the successful applicant understand or lived experience in the field of disability. What's on Offer?   Position located in ADELAIDE CBD. APS6 $60.26 per day + super Temporary contract for 12 months, with possibility to extend Standard Hours or work - Monday to Friday, 8:30 am till 5:00 pm  If you are interested in the role and you have the right experience for the position, please apply now following the link below. CM123WShow moreReport"
CSIRO4.1 ★,Data61 Business Analyst,Adelaide,"$106,500",5001 to 10000 Employees,1926,Government,National Services & Agencies,Government & Public Administration,$500 million to $1 billion (USD),"Acknowledgement of Country  CSIRO acknowledges the Traditional Owners of the land, sea and waters, of the area that we live and work on across Australia. We acknowledge their continuing connection to their culture and pay our respects to their Elders past and present. View our vision towards reconciliation  Child Safety  CSIRO is committed to the safety and wellbeing of all children and young people involved in our activities and programs. View our Child Safe Policy.  The Opportunity  Part Time role (four days a week) available within Data61. CSIRO’s Data61 is the digital technologies and data science arm of Australia’s national science agency. With around 400 staff and another 300 affiliate staff, Data61 represents one of the largest collections of R&D expertise in artificial intelligence, data science, cybersecurity, robotics, and software engineering in the world. With a focus on impact-driven science and technology, Data61 works across disciplines and industry sectors to solve some of the world’s greatest challenges through digital R&D. The Business Analyst (BA) position is a mid-level position that will support the Science Support Manager and team in make data informed decisions about our program portfolio and business operations. The BA will be an integral part of the team in deciding key metrics and performance indicators across programs, designing processes to collect those metrics efficiently and visualise and report on them to internal and external stakeholders. The BA will also play a key role in designing solutions to integrate data across different systems to ensure programs can be run smoothly and with a high level of automation. This role will be given agency and autonomy to think critically and creatively about best ways to collect and visualise programs and students data and metrics, as well as provide feedback on best practices to be implemented by the team. The Science Support team is a high performing, value driven team of 12 individuals that work with a high level of autonomy across Australia. The team is output driven and enjoys flexibility and autonomy when it comes to working arrangements. The team has set a collaborative and trust based culture where team members support each other and seek help and support when needed. Your duties will include: To ensure the Next Generation Graduates Program (NGGP) and the Student Programs Teams can be supported in the areas of student management, ongoing internal and external reporting and finance and budgeting, a Business Analyst is required.  The role, reporting to Science Support Officer, will carry on the following duties: Analysis and auditing on existing documentation, reports, templates and tools Building a digital solution to provide up to date reporting on key metrics for Science Programs and Next Generation Graduate Programs Support the team with the internal and external reporting, data visualization and insights on project key metrics. Build a digital solution to support the teams with a Student Management System that integrates with current systems and tools.  Location: Any location where D61 has a presence, fully remote location considered. Salary: AU$104k - AU$109k per annum (pro-rata for part-time) plus up to 15.4% superannuation Tenure: Specified term of until May 2025 Reference: 94910  To be considered you will need: Essential Under CSIRO policy only those who meet all essential criteria can be appointed. A relevant qualification (e.g., degree, postgraduate degree) or successful relevant experience in data management, data analytics and/or data visualization Advance level of expertise with data analytics tools and software such as excel, PBI, Tableau, SAP Data Analytics etc. Strong communication skills appropriate for a diverse cohort; the ability to clearly convey information and ideas in written and verbal form; and proactively establish and maintain effective interpersonal relationships with internal and external stakeholders Proven ability to investigate complex problems by utilising sound judgement to identify and consider potential implications of a range of available alternative solutions Demonstrated ability to deal with ambiguity and adapt to changing circumstances and new responsibilities. Ability to quickly adapt to technological, structural, and procedural changes whilst maintaining professionalism and flexibility. Desirable Ability to work independently and autonomously while raising issues and asking for support timely Knowledge of CSIRO systems and processes is desired  Eligibility  Applications for this position are open to Australian/New Zealand Citizens, Australian Permanent Residents or you must either hold, or be able to obtain, a valid working visa for the duration of the specified term. Appointment to this role is subject to provision of a national police check and may be subject to other security/medical/character requirements.  Flexible Working Arrangements  We work flexibly at CSIRO, offering a range of options for how, when and where you work.  Diversity and Inclusion  We are working hard to recruit people representing the diversity across our society, and ensure that all our people feel supported to do their best work and feel empowered to let their ideas flourish.  About CSIRO  At CSIRO Australia's national science agency, we solve the greatest challenges through innovative science and technology. We put the safety and wellbeing of our people above all else and earn trust everywhere because we only deal in facts. We collaborate widely and generously and deliver solutions with real impact.  CSIRO is committed to values-based leadership to inspire performance and unlock the potential of our people.  CSIRO is committed to the safety and wellbeing of all children and young people involved in our activities and programs, whether we are undertaking research, engaging with the public or nurturing future scientists in person or online. Source – CSIRO Child Safe policy 2023  Join us and start creating tomorrow today!  How to Apply  Please apply on-line and provide a cover letter and CV that best demonstrate your motivation and ability to meet the requirements of this role.  Applications Close  30th November 2023, 11:00pm AESTShow moreReport"
SA Government -DEPARTMENT FOR INFRASTRUCTURE AND TRANSPORT,BUSINESS INTELLIGENCE ANALYST,Adelaide,"$115,137",1001 to 5000 Employees,--,Government,--,--,Unknown / Non-Applicable,"Department for Infrastructure and Transport Job reference: 561915 Location: 5000 - ADELAIDE Job status: Long Term Contract Eligibility: Open to Everyone  At the Department for Infrastructure and Transport, we are connecting South Australia to keep our State moving. We are responsible for delivering a multi-billion-dollar pipeline of transformative transport and social infrastructure projects, operating and maintaining thousands of kilometres of roads and managing our city’s public transport network. Our work encompasses every part of our State; from our cities to our regions, connecting and strengthening community. We value diversity and inclusion and foster an environment of collaboration, flexibility, and support for our staff.  The North-South Corridor Program Delivery Office (PDO) is a division within the Department, created with the sole purpose of planning and delivering the final section of the North-South Corridor between the River Torrens and Darlington. This is a multi-billion dollar project that will complete the final and most complex stages of a 78 km free-flowing motorway that is vital to both the future economy and the liveability of Adelaide—the Missing Link. In supporting the next phase of this venture, the North-South Corridor PDO will manage all aspects of this significant infrastructure project—the biggest in South Australia’s history. Duties The Business Intelligence Analyst is accountable to the Business Intelligence Specialist to meet specific business requirements within the North-South Corridor PDO, for the delivery of improved Project related reporting.  The role will be responsible for the continuous improvement of whole-of-project reporting, analytics, decision-making capability associated with the data warehouses and project systems that are administered or accessed by the Project. The role will fundamentally improve project management of key milestones and contribute to the provision of high level and comprehensive reports that provide accurate business intelligence for achieving Project objectives.  The role is responsible for understanding current Project requirements and developing future requirements that are applicable to the Project, and is required to document business requirements, functional specifications, and the development of technology to support specific business outcomes. Requirements An appropriate tertiary qualification in the field of data analytics, computer science, information technology or a related discipline are desirable. Special Conditions The successful candidate will be required to provide a National Police Check prior to employment with the Department. Additional employment checks may be required relevant to the role being undertaken as outlined in the role statement. Some out of hours and weekend work may be required. A current driver's license is essential. Tenure of Vacancy Long term contract - temporary appointment up to 3 years Remuneration ASO7 - $106,512 to $115,137 per annum Enquiries Mr Jaimin Gajjar Manager Project Performance and Controls Telephone: 0432 205 162 Email: jaimin.gajjar@sa.gov.au Application Instructions Applications can be submitted online by clicking the 'Apply now' button. Additional Notes Applicants are required to submit a CV and a Cover Letter of no more than two (2) pages addressing the selection criteria in the attached Role Statement. The SA Government is an Equal Opportunity Employer and safety is a core value. Role Statement - Business Intelligence Analyst (ASO7) Applications close: 28/11/2023 5:00 PM   Flexibility Statement  The South Australian public sector promotes diversity and flexible ways of working including part-time. Applicants are encouraged to discuss the flexible working arrangements for this role.Show moreReport"
"Southern Cross Care (SA, NT & VIC) Inc3.5 ★",Business Intelligence Analyst,Australia,,501 to 1000 Employees,--,Company - Public,--,--,$100 to $500 million (USD),"Be the difference. Enjoy great rewards and benefits. 2 x Permanent Full time positions Salary Packaging benefits up to $15,900 annually to maximise your take home pay Excellent city-fringe location with onsite parking We are looking for Business Intelligence Analysts to join our dedicated ICT department at our Head Office based in Glenside. About the role The Business Intelligence Analyst is responsible for delivering data and insights by analysing, transforming and interpreting information from a broad range of data sources. An essential part of this role is generating high quality, reliable and secure datasets used by BI tools to provide dashboards and reports that enable business processes and decision making. You will be working with modern cloud based tools with the opportunity to explore emerging data analysis methods. The candidate will join a growing BI team that is well supported by engaged stakeholders and users. This role is based at our Central Office and may occasionally travel to other Southern Cross Care sites. Occasional out of hours work may be required. Key responsibilities of this role include but are not limited to: Providing design, development, testing, delivery and ongoing support for complex Business Intelligence solutions Managing and administering on-premise and cloud SQL environments including maintaining and producing complex SQL scripts and facilitating new or existing data integrations Supporting, administering and managing Data Warehousing solutions Designing and managing organisational access to data including dashboards, reports and extracts Educating and training users on how to use corporate data as an analytical tool to make sound business decisions, including developing user guides Providing ongoing support, maintenance, documentation and training in relation to Corporate Business systems For further details regarding the scope of the role, please refer to our website for the position description. About you We are looking for people who will be the difference in the lives of our residents and clients. The successful candidate will have the following skills and experience: A Tertiary Qualification in Information Technology is preferable with an appreciation of large-scale and complex application environments with technically diverse users Demonstrated experience in developing, configuring and management of Data Warehousing and Common Data Model solutions Excellent Knowledge of enterprise database management systems with advanced SQL script writing skills Demonstrated experience in utilising BI tools to present KPI dashboards, web reports and data extracts for users Experience in using Google Cloud Platform tools and Data, in particular BigQuery and Looker Studio Excellent interpersonal skills and the ability to express ideas clearly and concisely including oral presentation skills Strong problem solving skills with a demonstrated commitment to meeting the needs of both internal and external customers Demonstrated initiative and the ability to work with minimal supervision About us Southern Cross Care is one of Australia’s leading charitable aged care and retirement living service providers. We value the diversity in our team, live and breathe our values and offer salary packaging benefits to maximise your take-home pay. When you work for us, we value you as an individual, care for your well-being and develop your skills to help you build your career. We reward creativity and provide the stability and flexibility you need. When you work for us, you work better for life. Enquiries: steve.munnichs@southerncrosscare.com.au Applications close: 4pm on Friday, 24th of November 2023Show moreReport"
Discovery Parks3.2 ★,Business Intelligence Analyst,Adelaide,"$122,961",501 to 1000 Employees,--,Company - Private,Hotels & Resorts,Hotel & Travel Accommodation,Unknown / Non-Applicable,"Be part of the growth of a South Australian success story Flexible working arrangements in fast-growing organisation Join a highly successful and knowledgeable Technology team About Us The G’day Group comprises three leading Australian tourism brands in Discovery Parks, G’day Parks and loyalty program G’day Rewards. Employing more than 2,200 people Australia-wide, G’day Group has a truly national footprint of over 300 holiday parks, including 85 fully owned and operated parks and Resorts. The largest park network in the country, we’re about authentic Australian holiday experiences and inviting all Aussies to say g’day to more of Australia. We’re on a journey of growth and evolution to reshape the industry, offering the best customer experience underpinned by the best technology. Each year, we showcase the true Australia to millions of guests and we are the co-custodians of some of the country’s most treasured places; a privilege we don’t take lightly. With eyes on domestic and regional tourism like never before, we are building a passionate, adaptable, high-performance team to create holiday memories that put a smile in every g’day. The Role As a Business Intelligence Analyst, you will be responsible for analysing and interpreting information from large data sets, providing insights on aggregated data metrics and identifying and communicating past and predicted trends, through dashboards and other tools, for the business to make strategic data-driven decisions. With a flair of creativity, you will have the opportunity to solve problems, to interact with best-in-breed technology and to communicate key insights in a variety of formats and within a variety of business domains such as customer experience, market operations, finance, HR/employees etc. This is an exciting opportunity to be a central part of a vibrant cross-functional team focused on delivering business outcomes by leveraging unique insights brought about through an effective data management capability. Your role responsibilities will include: Working with the business to determine and prototype their dashboard ideas Providing insightful, accurate and timely analysis and visualisations Deriving insights from data and communicating those insights to a non-technical audience Apply your broad skillset across data and analytics to understand business problems, create insights and provide practical solutions Help spread data literacy across the company Participating in and supporting the Data Governance initiatives Designing and implementing dashboard / reporting standards Securing dashboard for enterprise ready-publishing Assisting Citizen BI developers as needed including informal training and best practice guidance Using statistical tools to identify, analyse, and interpret patterns and trends in complex data sets that could be helpful for the diagnosis and prediction of commercial activity Designing, developing, and deploying Business Analytics Dashboards using various BI technologies including Power BI, ML, AI, QlikView / QlikSense etc Collecting, cleaning, and managing data from various sources to ensure the reliability of the data reported on Tuning dashboards and refactoring as required to ensure report performance optimisation Collaborating with the data engineering team in data transformation and modelling processes Supporting the full BI lifecycle from requirements analysis through design & development, and through release and support/maintenance phases Responding to data requests from across the business and managing the BI service delivery (maintaining Power BI reports, Apps, datasets, refresh schedules across the organization) Conducting end-to-end analysis including data gathering, data cleaning and requirements specification processing, analysis, ongoing deliverables, and presentations/visualizations Ensuring all process documentation is up to date and maintain the highest levels of quality in deliverables Investigate alternate data sources to provide additional insight into the business Developing processes, analysis methodologies and dashboards to increase efficiency and consistency within the BI capability. Your Experience A Bachelor’s Degree in Information Technology or relevant field, combined with previous experience as a Microsoft or Power BI Analytics Specialist. You will have advanced skills in DAX, SQL, SQL-T, Synapse Analytics and Databricks/SQL Analytics/MLFlow. You will have significant commercial experience across the Microsoft BI stack (SSIS, SSRS, SSAS). Your Excel skills will be well developed. You will have a working knowledge of DWH, BI and analytical best practice. You will have excellent interpersonal and collaboration skills, with the ability to communicate complex concepts to technical and non-technical stakeholders. You will possess a high level of energy, self-motivation, autonomy, initiative, and attention to detail to be successful in meeting the business demands at G’day Group. Your naturally upbeat and open style will fit our cultural values. You will have a highly organised mindset with the ability to assess the urgency of work allocated to you by various stakeholders. G’day Group is a dynamic company with an energetic ‘market disrupter’ reputation. If you are passionate, adventurous, and ready to hit the ground running, we want to hear from you. Discover more to life - APPLY NOW! BenefitsHealth and Wellbeing – Flexible and hybrid working arrangements / Employee Assistance Program / Discounted private health cover / BeWell Training Program / Weekly yoga and walking group / Free annual flu vaccinationsLeave Policies – Parental leave / Volunteer leave / Study leaveProfessional Development – Leadership programs / Support of external training courses / Reimbursement of professional membershipsEmployee Savings – Discounted accommodation and experience rates / Salary packaging / Discovery partner discounts/ Free G’day Rewards membership / Loyalty recognition benefits Our ESG statement The G’day Group acknowledges the increasing global expectation to demonstrate our approach to Environmental, Social and Governance (ESG) risk factors and sustainability in our daily operations and ongoing decision making. Our five-year ESG strategy is evolving to ensure we are committed to growing with care through supporting our people, giving back to the communities we operate in, and protecting our environment. Prior to an offer of employment being made, candidates must provide authority for a Federal Police Clearance to disclose any criminal offences or charges. Drivers Licence essential. VideoShow moreReport"
Westpac3.5 ★,Business Analyst - Continuous Improvement,Adelaide,"$92,883",1001 to 5000 Employees,--,Subsidiary or Business Segment,Investment & Asset Management,Finance,$2 to $5 billion (USD),"Business Analyst, Continuous Improvement - 42932 Full time | Permanent Adelaide/Parramatta based Hybrid working arrangement with office days and WFH How will I help? As a Business Analyst, of Continuous Improvement, you will be responsible for evaluating and improving business practices and processes across all business units in Mortgage Operations. The role provides the opportunity to influence stakeholders across the mortgage value chain and drive the execution of the mortgage strategy through transformation and change delivery. The ideal candidates should be passionate and curious about continuous improvement and to help our business grow, have a curious, growth mindset, and be able to work in a high-impact fast environment. Some key responsibilities include but not limited to: Review, design, and execute process improvements; identify knowledge and skills gaps and embed changes. Analyse data sets to identify effective ways to improve efficiency Modelling business processes and identifying opportunities for process improvements. Identifying issues, risks and benefits of existing and proposed solutions and outlining business impacts. Liaise with diverse group of stakeholder groups including the Executive Team, Senior Leadership Team, team members and other internal and external customers, to understand business needs, project scope and vision. Facilitate and provide specialist advice to business units via targeted workshops and interviews to identify and resolve specific issues that are critically impacting business outcomes. Manage the end-to-end delivery of process design and process improvement projects, using agile and Lean Six Sigma methodology.  What’s in it for me?  You’ll play a significant part of the future of a business that has been around for 200 years. Our purpose is creating better futures together. So, we’ll back you in the development of your career, internal career prospects, and flexible working. You’ll also keep learning to grown, backed by a fantastic team of people with a can-do, supportive structure. Whatever shape your family takes, we offer generous paid and unpaid parental leave for your nominated primary and support carers. This includes leave to organise adoptions, surrogacy, and foster care arrangements. And we continue to pay your super contributions while you take all the time you need to get your new family settled.   What do I need? Minimum three 3 years’ experience working as a Business Analyst or related experience - Business Improvement Specialist / consultants Experience in managing and implementing small to medium sized initiatives in projects or change Experience in development of Standard Operating Procedures (SOPs) and ability and confidence to facilitate workshops to achieve implementation outcomes across multifunctional teams. Excellent understanding of the rapid/agile process improvement model, Kaizen and/or LEAN Six Sigma methodologies, to deliver business process improvement High level of competence with Microsoft Office products including MS Visio and Miro  What is it like to work there? We aim to provide one big, supportive team of people who love helping others succeed. As an equal opportunity employer, we’re proud to have created a culture and work environment that values diversity and flexibility – and champions inclusion. How do I Apply? Start here. Just click on the APPLY button. The health and wellbeing of our employees is our top priority. We’ve developed clear standards to ensure our people are confident, safe and healthy whether they’re working from a Westpac Group site or working from home. These are based on expert medical advice and Safe Work Australia guidelines. As part of our commitment to creating a diverse and inclusive workplace, this role is open to experienced candidates seeking a discussion around workplace flexibility. We invite candidates of all ages, genders, sexual orientation, cultural backgrounds, people with disability, neurodiverse individuals, and Indigenous Australians to apply. If an adjustment is required to assist you during our recruitment process, please email talentacquisition@westpac.com.au Do you need reasonable adjustments during the recruitment process? At Westpac we are committed to providing a supportive culture and creating inclusive and accessible workplaces, branches, products and services for our customers, employees, and community. We can provide reasonable adjustments for individuals with disability and/or neurodiversity. If you require an adjustment to be made during the recruitment process at any stage, please call 1800 655 592 Option 1.2 or email talentacquisition@westpac.com.auShow moreReport"
