job_title,salary,company_size,company_type,company_industry,company_sector,company_revenue,salary_hourly,company_name,company_rating,state,company_age,python,SQL,excel,tableau,power_bi,math,machine_learning,statistics,presentation,reporting
EMPO Reporting Analyst,120000.0,51-200,Company - Private,,,,0,Bluefin Resources,4.0,NSW,,0,0,1,0,0,0,0,0,0,1
Junior Data Business Analyst | Commodities and Global Markets,108167.0,>10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),0,Macquarie Group Limited,4.0,NSW,54.0,0,0,1,0,0,0,0,0,0,0
Business Analyst,90000.0,,,,,,0,ETM Group Holdings Pty Ltd,,NSW,,0,0,0,0,0,0,0,0,0,0
Data & Reporting Analyst,78772.0,1001-5000,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$2 to $5 billion (USD),0,TPG Telecom,4.0,NSW,3.0,0,1,1,0,1,0,0,0,0,1
Data Analyst - Remote,118761.0,Unknown,Government,Energy & Utilities,"Energy, Mining, Utilities",,0,Sydney Water,3.5,NSW,,1,1,0,0,1,1,0,0,0,1
Supply Chain Data Analyst,74673.0,1001-5000,Company - Public,Advertising & Public Relations,Media & Communication,$2 to $5 billion (USD),0,Elders,4.0,NSW,,0,1,1,0,1,1,0,1,0,1
Data Analyst,135950.0,>10000,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),0,Zurich Insurance,4.3,NSW,151.0,0,0,0,0,0,0,0,0,0,1
Data Business Analyst,80000.0,>10000,Company - Public,Advertising & Public Relations,Media & Communication,$10+ billion (USD),0,WPP,3.6,NSW,38.0,0,0,1,0,0,0,0,0,0,0
Data Analyst,100995.0,>10000,Company - Public,Banking & Lending,Finance,$5 to $10 billion (USD),0,Commonwealth Bank,3.9,NSW,112.0,0,1,0,0,0,0,0,0,0,0
Junior Market Risk Analyst,89346.0,5001-10000,Company - Public,Energy & Utilities,"Energy, Mining, Utilities",$10+ billion (USD),0,Origin Energy,3.4,NSW,,0,0,1,1,0,1,0,0,0,1
Data Visualisation Analyst,92927.0,1001-5000,Company - Public,Real Estate,Real Estate,$100 to $500 million (USD),0,REA Group,4.2,NSW,28.0,0,1,0,1,0,0,0,0,0,0
Data Analyst in Sydney,105981.0,1001-5000,Company - Public,Computer Hardware Development,Information Technology,$100 to $500 million (USD),0,WiseTech Global,4.2,NSW,29.0,1,1,0,1,1,0,1,1,1,1
Data Analyst (Contract),101956.0,201-500,Company - Private,Pet & Pet Supplies Stores,Retail & Wholesale,,0,Pet Circle,3.2,NSW,12.0,1,1,1,0,0,1,0,1,0,0
Data Analyst,92927.0,1001-5000,Company - Public,Real Estate,Real Estate,$100 to $500 million (USD),0,REA Group,4.2,NSW,28.0,1,1,0,1,0,0,0,0,0,1
Data analyst,98500.0,501-1000,Non-profit Organisation,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,,0,The Garvan Institute of Medical Research,3.6,NSW,,1,1,1,1,1,0,0,0,0,1
Funding Support – Data Optimisation Analyst,97800.0,>10000,Company - Private,Healthcare Services & Hospitals,Healthcare,$5 to $10 billion (USD),0,Bupa Dental Care,3.5,NSW,76.0,0,0,1,0,0,0,0,0,0,1
GLS Data Analyst,103235.0,201-500,Company - Private,,,,0,Questas Corporate,2.6,NSW,,0,1,1,0,1,0,0,0,0,1
Junior Reporting Analyst,79032.0,501-1000,Government,National Services & Agencies,Government & Public Administration,,0,NSW Government -icare,4.1,NSW,,0,0,0,0,0,0,0,0,0,1
Data Analyst,76.5,,,,,,1,Intellipro Australia Pty. Ltd,,NSW,,1,1,0,0,0,0,0,0,0,0
Data & Reporting Analyst,70.0,51-200,Company - Private,HR Consulting,Human Resources & Staffing,,1,Aurec,4.3,NSW,21.0,0,1,0,0,1,0,0,0,0,1
Commercial Analyst,70000.0,201-500,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),0,BRITISH AMERICAN TOBACCO AUSTRALIA LIMITED,4.0,NSW,121.0,0,0,1,0,1,0,0,0,1,1
Data Analyst | Corporate Operation Group,92195.0,>10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),0,Macquarie Group Limited,4.0,NSW,54.0,1,1,1,0,0,0,0,0,0,1
Data Analyst,120074.0,>10000,Company - Public,Investment & Asset Management,Finance,$5 to $25 million (USD),0,ING,4.1,NSW,123.0,1,1,1,0,0,0,0,0,1,1
Schedule and Data Analyst,146233.0,>10000,Company - Private,Travel Agencies,Hotel & Travel Accommodation,$10+ billion (USD),0,dnata catering,3.4,NSW,,0,1,1,0,1,0,0,0,1,1
Data & Insights Analyst,83666.0,1001-5000,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$2 to $5 billion (USD),0,TPG Telecom,4.0,NSW,3.0,0,1,0,0,0,0,0,1,0,1
BI Business Analyst,111907.0,5001-10000,Company - Public,Wholesale,Retail & Wholesale,$10+ billion (USD),0,Metcash,3.2,NSW,103.0,0,1,0,0,0,0,0,0,0,0
"Analyst, Data & Insights",85043.0,5001-10000,Subsidiary or Business Segment,Music & Sound Production,Media & Communication,$2 to $5 billion (USD),0,Sony Music Entertainment Australia,4.1,NSW,37.0,1,1,1,1,1,0,0,0,1,0
"Consulting Analyst, Visa Consulting & Analytics",168526.0,>10000,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),0,Visa,4.1,NSW,65.0,0,0,1,0,0,0,0,1,1,0
Junior Business Analyst,106066.0,51-200,Company - Private,,,,0,Efiniti Telecommunication Servies,3.2,NSW,,0,1,1,1,1,0,0,0,1,1
Senior Data Analyst,119908.0,501-1000,Government,National Services & Agencies,Government & Public Administration,,0,Transport For NSW,4.1,NSW,,1,1,0,0,0,0,1,0,0,1
Climate & Natural Hazards Data Analyst,87613.0,201-500,Company - Public,Software Development,Information Technology,,0,Property Exchange Australia Limited,3.0,NSW,13.0,1,1,0,0,0,0,0,1,0,0
Data Analyst,112442.0,51-200,Company - Private,"Staffing, Recruitment & Subcontracting",Human Resources & Staffing,,0,PERSOLKELLY,3.7,NSW,,0,1,0,0,1,0,0,1,0,1
Data analytics-Business Analyst,97211.0,1-50,Company - Private,Machinery Manufacturing,Manufacturing,,0,Axiom Technologies,2.0,NSW,,1,0,0,1,1,0,1,0,0,0
Quantitative Analyst,119669.0,>10000,Company - Public,Banking & Lending,Finance,$10+ billion (USD),0,NAB - National Australia Bank,3.8,NSW,,1,0,1,0,0,1,0,0,0,0
Project Management Office and Change Analyst | Operational Risk,126412.0,>10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),0,Macquarie Group Limited,4.0,NSW,54.0,0,0,1,0,0,0,0,0,0,1
Actuarial Analyst - Pricing and Analytics,74672.0,>10000,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),0,Zurich Insurance,4.3,NSW,151.0,0,0,1,0,0,0,0,0,0,0
Sales Operations Analyst,72962.0,>10000,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),0,Microsoft,4.3,NSW,48.0,1,1,1,1,1,1,0,1,0,1
Platform Investment Analyst - Managed Portfolios Reporting,191785.0,5001-10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),0,AMP Limited,3.1,NSW,174.0,0,1,1,0,1,0,0,0,0,1
Business Analyst,90000.0,>10000,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),0,Komatsu,4.0,NSW,,0,0,1,0,1,0,0,0,0,1
Operations Insights Analyst,105000.0,>10000,Company - Public,Grocery Stores,Retail & Wholesale,$10+ billion (USD),0,WooliesX,3.7,NSW,99.0,1,1,1,1,0,0,0,0,0,1
Business Analyst,119059.0,1001-5000,Company - Private,Energy & Utilities,"Energy, Mining, Utilities",$2 to $5 billion (USD),0,Essential Energy,3.5,NSW,12.0,0,0,1,0,0,0,0,0,1,1
Operations - Tax Data Analyst - Associate,87396.0,>10000,Company - Public,Banking & Lending,Finance,$10+ billion (USD),0,JPMorgan Chase & Co,4.1,NSW,224.0,0,0,1,0,0,0,0,0,0,1
Sustainability Integration Analyst,92249.0,1001-5000,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),0,Stockland,3.5,NSW,,0,0,1,0,0,1,0,1,0,1
Commercial Analyst | 3-4 days work from home!,140000.0,>10000,Company - Public,HR Consulting,Human Resources & Staffing,$5 to $10 billion (USD),0,Robert Half,3.8,NSW,75.0,0,0,1,0,0,0,0,0,1,1
Commercial Data Analyst & Trainer,83309.0,1001-5000,Company - Public,Colleges & Universities,Education,,0,Torrens University Australia,2.3,NSW,11.0,0,1,1,0,1,0,0,0,1,0
Business Analyst,107331.0,Unknown,Company - Private,Pharmaceutical,Pharmaceutical & Biotechnology,,0,United for Care,,NSW,,0,0,0,0,0,0,0,0,0,0
Risk Analyst,100993.0,1-50,Company - Public,,,,0,Australian Reinsurance Pool Corporation,3.0,NSW,,0,0,1,0,0,0,0,0,0,1
Vendor Success and Commercial Analyst,128194.0,>10000,Company - Public,Grocery Stores,Retail & Wholesale,$10+ billion (USD),0,WooliesX,3.7,NSW,99.0,1,1,1,1,1,0,0,0,1,1
Consumer Insights Analyst,88318.0,5001-10000,Company - Private,Healthcare Services & Hospitals,Healthcare,,0,GenesisCare,2.7,NSW,18.0,0,0,1,1,0,0,0,1,0,1
Insights Analyst,97248.0,>10000,Company - Public,Banking & Lending,Finance,$5 to $10 billion (USD),0,Commonwealth Bank,3.9,NSW,112.0,1,1,0,1,0,0,0,0,0,1
"Graduate Program – Data Science, Business Analytics & AI",123390.0,>10000,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),0,Komatsu Australia,4.0,NSW,,0,0,0,0,0,0,0,0,0,0
Supply Chain Data Analyst,107138.0,>10000,Company - Public,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$5 to $10 billion (USD),0,Downer Group,3.3,NSW,90.0,0,0,1,0,1,0,0,0,0,1
EPMO Analyst,97596.0,>10000,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),0,Allianz Australia,4.0,NSW,133.0,0,0,1,0,0,0,0,0,0,1
Data Analyst/Data Administrator,95000.0,Unknown,Company - Private,,,,0,Norwest Recruitment,,NSW,,0,0,1,0,0,0,0,0,0,1
Data Analyst,23.5,1-50,Company - Private,Internet & Web Services,Information Technology,,1,Peroptyx,2.7,remote,5.0,0,0,1,0,0,0,0,0,0,0
Regulatory Reporting Analyst,108444.0,1001-5000,Company - Public,Investment & Asset Management,Finance,$500 million to $1 billion (USD),0,Link Group,3.3,NSW,18.0,0,0,1,0,0,0,0,0,0,1
Data Analyst,42.5,5001-10000,Company - Private,HR Consulting,Human Resources & Staffing,$2 to $5 billion (USD),1,HAYS,3.6,NSW,55.0,1,1,0,1,1,0,0,0,0,1
Reporting and Data Analyst Health Safety and Environment (HSE),129992.0,1001-5000,Government,Energy & Utilities,"Energy, Mining, Utilities",$500 million to $1 billion (USD),0,TransGrid,3.1,NSW,,0,0,1,0,1,0,0,1,1,1
Business Analyst,90000.0,>10000,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),0,Komatsu Australia,4.0,NSW,,0,0,1,0,1,0,0,0,0,1
Junior Data Analyst | 6 Month contract + ext.,83666.0,51-200,Company - Private,Enterprise Software & Network Solutions,Information Technology,,0,Billigence Pty Ltd,4.1,NSW,,0,1,1,1,1,0,0,0,0,0
Data Analyst (Centre for Big Data Research),110500.0,1001-5000,College / University,Colleges & Universities,Education,,0,University of New South Wales,4.3,NSW,74.0,0,1,1,0,0,0,0,1,0,0
Data Analyst,86603.0,1-50,Company - Private,HR Consulting,Human Resources & Staffing,,0,Cox Purtell,4.4,NSW,29.0,1,1,1,0,0,1,1,0,0,0
Data Analyst,79034.0,501-1000,Company - Private,,,,0,Ampcontrol,3.5,NSW,,1,1,0,0,1,0,0,0,0,1
Analyst | Quantitative Market Risk,105428.0,>10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),0,Macquarie Group Limited,4.0,NSW,54.0,1,0,1,0,0,1,0,1,0,1
Data Analyst Actuary,60.0,5001-10000,Company - Private,HR Consulting,Human Resources & Staffing,$2 to $5 billion (USD),1,HAYS,3.6,NSW,55.0,0,1,1,0,0,1,0,1,0,0
Credit Risk Analyst,87464.0,5001-10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),0,AMP Limited,3.1,NSW,174.0,1,0,1,0,1,1,0,1,0,1
Investment Governance and Reporting Analyst,79492.0,1001-5000,Company - Public,Investment & Asset Management,Finance,$500 million to $1 billion (USD),0,IOOF Holdings,3.3,NSW,177.0,0,0,1,0,0,0,0,1,0,1
"Data Analyst, Video Infrastructure",126866.0,>10000,Company - Private,Internet & Web Services,Information Technology,,0,TikTok,3.4,NSW,7.0,1,1,0,0,0,1,0,1,0,1
Data Analyst,104022.0,201-500,Company - Private,,,,0,Pyramid Global Technologies,5.0,NSW,,0,1,0,0,0,0,0,0,0,0
"Risk Analyst - Governance, Risk and Compliance",112859.0,>10000,Non-profit Organisation,Accounting & Tax,Finance,$2 to $5 billion (USD),0,PKF Australia,3.6,NSW,54.0,0,0,1,1,1,0,0,0,0,0
Analyst – Data Quality,93466.0,>10000,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD),0,Stryker,4.1,NSW,82.0,0,1,1,0,0,1,0,1,0,1
Junior Finance Analyst – Supply Chain,89741.0,>10000,Company - Private,Food & Beverage Manufacturing,Manufacturing,$5 to $10 billion (USD),0,Pernod Ricard,4.1,NSW,48.0,0,0,1,0,1,0,0,0,0,1
Data Analyst,122500.0,201-500,Company - Private,Security & Protective,Management & Consulting,,0,Michael Page,4.4,NSW,,1,1,1,0,1,0,0,0,0,0
Technical Business Data Analyst,95000.0,Unknown,Company - Public,,,,0,Collaborate Recruitment Pty Ltd,,NSW,,0,1,1,0,1,0,0,0,0,1
Data Analyst - Chatbot,86603.0,1-50,Company - Private,HR Consulting,Human Resources & Staffing,,0,Charterhouse,4.4,NSW,20.0,1,1,0,0,0,0,0,0,0,0
Junior Data Analyst / Application Support,75000.0,51-200,Company - Private,Information Technology Support Services,Information Technology,,0,Secure Agility,4.1,NSW,21.0,0,0,1,0,0,0,0,0,0,1
"Finance Analyst, Group Performance Reporting",119583.0,>10000,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),0,IAG New Zealand,3.8,NSW,,0,0,1,0,0,0,0,0,0,1
Data Analyst/Engineer,137500.0,1-50,Company - Private,Enterprise Software & Network Solutions,Information Technology,,0,Slyp,3.9,NSW,7.0,1,1,0,0,0,1,1,1,0,1
Chapter Lead CDAO Data Analytics Group,100995.0,>10000,Company - Public,Banking & Lending,Finance,$5 to $10 billion (USD),0,Commonwealth Bank,3.9,NSW,112.0,0,1,1,1,0,0,0,0,0,0
Senior Data Analyst,123361.0,501-1000,Government,National Services & Agencies,Government & Public Administration,,0,NSW Government -Customer Strategy & Technology,4.1,NSW,,1,1,0,0,0,0,1,0,0,1
Financial Data Analyst,109545.0,51-200,,,,,0,TMGM,3.2,NSW,,1,0,1,0,0,0,0,1,0,0
Data Business Analyst,97980.0,51-200,Company - Private,HR Consulting,Human Resources & Staffing,$500 million to $1 billion (USD),0,Peoplebank,4.0,NSW,33.0,0,1,1,0,0,0,0,0,0,0
Data Analyst Software Engineer,111694.0,501-1000,Government,National Services & Agencies,Government & Public Administration,,0,NSW Government -Natural Resources Access Regulator,4.1,NSW,,1,1,0,0,0,0,0,1,0,1
Insights Analyst,89443.0,51-200,Company - Private,Research & Development,Management & Consulting,,0,Lonsec,,NSW,28.0,0,0,1,0,0,0,0,0,1,0
Product Owner/Senior Data Analyst,87795.0,501-1000,Government,Banking & Lending,Finance,$10+ billion (USD),0,Reserve Bank of Australia,3.5,NSW,,0,1,1,0,0,0,0,1,0,1
Premium Analyst,89512.0,1001-5000,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),0,RGA,4.1,NSW,50.0,0,1,1,0,0,1,0,0,0,1
Finance Analyst - Inventory / Inventory Controller,83910.0,501-1000,Company - Private,Home Furniture & Housewares Stores,Retail & Wholesale,,0,King Living,3.5,NSW,46.0,0,1,1,0,0,0,0,0,0,1
Business Analyst,107331.0,Unknown,Company - Private,,,,0,INGRITY,,NSW,,0,1,1,0,0,0,0,0,1,1
Business Analyst Underwriting Operations,98742.0,Unknown,Company - Private,Insurance Agencies & Brokerages,Insurance,,0,Guild Group,,NSW,62.0,0,0,0,0,0,0,0,0,0,1
Business Analyst,119756.0,1001-5000,Company - Private,Law Firms,Legal,$500 million to $1 billion (USD),0,Fragomen,3.4,NSW,72.0,0,0,1,1,1,0,0,0,0,0
Senior Data Insights Analyst,101464.0,1-50,Contract,,,,0,Mable,4.5,NSW,,1,1,1,1,0,0,1,1,0,0
HR Data and Compliance Consultant/Analyst - HR Compliance and Governance - Sydney,134778.0,>10000,Company - Private,Internet & Web Services,Information Technology,,0,ByteDance,3.8,NSW,11.0,0,0,1,0,0,0,0,1,0,1
Senior Insights Analyst,83457.0,501-1000,Company - Public,Advertising & Public Relations,Media & Communication,$25 to $50 million (USD),0,Ebiquity,3.5,NSW,,0,0,1,1,0,0,0,0,0,1
Media Insights Analyst,77136.0,Unknown,Company - Public,,,,0,Cartology,4.0,NSW,,0,1,0,1,0,0,0,0,1,1
Business Analyst,108167.0,>10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),0,Macquarie Group Limited,4.0,NSW,54.0,0,0,1,0,0,0,0,0,0,1
Master Data Analyst,113456.0,>10000,Subsidiary or Business Segment,Grocery Stores,Retail & Wholesale,,0,Coles Group,3.6,NSW,109.0,0,0,0,0,0,0,0,0,0,1
Data Governance Analyst,118585.0,1-50,Company - Private,HR Consulting,Human Resources & Staffing,,0,M&T Resources,3.6,NSW,29.0,0,1,1,0,0,0,0,0,0,0
BI Reporting Developer,115152.0,51-200,Company - Private,,,,0,The Law Society of New South Wales,3.1,NSW,,0,1,0,0,1,1,0,1,0,1
Energy Systems and Data Analyst,134611.0,>10000,Company - Public,Metal & Mineral Manufacturing,Manufacturing,,0,BlueScope,3.8,NSW,138.0,0,0,0,0,0,0,0,0,0,1
Risk Support Analyst,91324.0,>10000,Company - Public,Investment & Asset Management,Finance,$5 to $25 million (USD),0,ING,4.1,NSW,123.0,0,0,0,0,0,0,0,0,0,0
Reporting Analyst,111425.0,1001-5000,Company - Private,Business Consulting,Management & Consulting,,0,IRI Worldwide (Australia),3.6,NSW,44.0,0,0,1,0,0,0,0,0,0,1
Regulatory Operations Analyst,76605.0,>10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),0,Macquarie Group Limited,4.0,NSW,54.0,0,0,1,0,0,0,0,0,0,1
Pricing Analyst Team Leader,95917.0,5001-10000,Subsidiary or Business Segment,"Department, Clothing & Shoe Stores",Retail & Wholesale,,0,'COS,3.3,NSW,16.0,0,0,1,0,0,0,0,0,0,1
Rewards Analyst - 12 month fixed-term,119896.0,1001-5000,Company - Private,Software Development,Information Technology,,0,Canva,4.3,NSW,,0,0,1,0,0,0,0,0,0,0
Business Analyst,116833.0,1001-5000,Non-profit Organisation,"Civic, Welfare & Social Services",Non-profit & NGO,$100 to $500 million (USD),0,People,,NSW,,0,0,1,1,0,0,0,0,1,0
Financial Analyst,84971.0,501-1000,Company - Private,,,,0,SRG Limited,3.9,NSW,,0,0,1,0,0,0,0,1,1,1
ICT Business Analyst,75000.0,Unknown,Company - Private,,,,0,My Guardian - Aged and Disability Care,,NSW,,0,0,0,0,0,0,0,0,0,0
Customer Insights Analyst,115000.0,201-500,Company - Public,Internet & Web Services,Information Technology,,0,hipages,4.2,NSW,19.0,0,0,1,1,1,0,0,0,0,0
Data Analytics and Reporting Analyst,96747.0,Unknown,Company - Private,,,,0,SB Recruitment Pty Ltd,5.0,NSW,,1,0,0,1,1,1,0,1,0,1
Consultant - Organisation and Methods Analyst,85000.0,,,,,,0,Amplify Procurement,,NSW,,0,0,1,0,0,0,0,0,0,0
Marketing Data Analyst,104022.0,1-50,Company - Public,,,,0,The Leading Edge,,NSW,,0,0,0,0,0,0,0,1,1,0
Business Analyst,129023.0,201-500,Company - Public,Real Estate,Real Estate,,0,Dexus,3.4,NSW,39.0,0,0,0,0,0,0,0,0,0,0
