company,job_title,location,salary,company_size,company_founded,company_type,company_industry,company_sector,company_revenue,job_description
Bluefin Resources4.0 ★,EMPO Reporting Analyst,Sydney,"$120,000",51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,"Bluefin Resources are seeking an experienced Project Reporting Analyst for our financial services client to measure the execution of projects within the portfolio and consolidate the overall portfolio health. This position will require excellent stakeholder management skills and proven experience with project metric reporting.Key Responsibilities: Facilitate and lead the EPMO forumsCollation of project forecasts and assisting with reviewsDetailed reporting of metrics aggregated across all EPMO projectsWorking closely with Program/Project Managers and other key staff membersMonitor and manage portfolio RAID and ensure escalation to appropriate level of governance or oversightAccuracy of data in Clarity PPMBuilding and maintaining strong relationships with stakeholdersEnsure all key stakeholders are provided essential portfolio informationManage the enterprise portfolio governance plan· Supporting project health checks and auditsEssential experience:· 3-5 years demonstrated experience as Portfolio Reporting Analyst with understanding of the project life cycle, project documentation, project standards and methodologies within a complex EPMOProven experience in delivering portfolio performance reporting, and project budgeting / forecasting· Experience using a Project Portfolio management system (Clarity / Plan view)Ability to work in a high-pressure environment and self-manageExcellent communication skills (written and verbal)Superior stakeholder management ability at all levelsWork independentlyHave a recognised Qualifications in Project Management (PmBok, PRINCE 2, P30 etc)Please apply via the linkJob Types: Full-time, PermanentSalary: $110,000.00 – $130,000.00 per yearSchedule:Day shiftMonday to FridayWork Eligibility:Permitted to work permanently with no restriction on hours (e.g. citizen, permanent resident) (Preferred)Work Remotely:Temporarily due to COVID-19Show moreReport"
Macquarie Group Limited4.0 ★,Junior Data Business Analyst | Commodities and Global Markets,Sydney,"$108,167",10000+ Employees,1969,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),"We are a dynamic change team who works collaboratively within the team and with our stakeholders to implement the global data strategy of Macquarie’s markets business.  At Macquarie, we are working to create lasting value for our communities, our clients and our people. We are a global financial services group operating in 34 markets and with 54 years of unbroken profitability. You’ll be part of a supportive team where everyone - no matter what role - contributes ideas and drive outcomes.  What role will you play?  You will support the implementation of the global data strategy across various financial products and platforms and work closely with business and technical stakeholders to identify and document data requirements. You will collaborate with business users to specify business rules to manage data quality and resolve issues according to agreed principles and governance frameworks.  What you offer  At least 2 years experience in the financial services industry or a role involving data management An interest in data and its use across the organisation Excellent analytical capacity supported by clear and concise written and verbal communication skills Focus on high quality and timely delivery, with the ability to manage multiple parallel tasks and deliverables Ability to work collaboratively within and across teams. Thrive in an environment with evolving priorities and changing needs of the business.  We love hearing from anyone inspired to build a better future with us, if you're excited about the role or working at Macquarie we encourage you to apply.  Benefits  Macquarie employees can access a wide range of benefits which, depending on eligibility criteria and location, include:  Hybrid and flexible working arrangements Wellbeing and service bonus leave Up to 20 weeks paid parental leave as well as benefits to support you as you transition to life as a working parent Paid volunteer leave and donation matching Range of benefits to support your physical, psychological and financial wellbeing  About Commodities and Global Markets  In Commodities and Global Markets you will be part of a global business offering capital and financing, risk management, market access, physical execution and logistics solutions to its diverse client base.  Our commitment to Diversity, Equity and Inclusion  The diversity of our people is one of our greatest strengths. An inclusive and equitable environment enables us to deliver innovative and sustainable outcomes for our people, clients, shareholders and communities. From day one, you'll be encouraged to be yourself and supported to perform at your best. If our purpose of ‘empowering people to innovate and invest for a better future’ is as inspiring to you as it is to us, please apply. With the right technology, support and resources, our people can work in a range of flexible ways.  We are committed to providing a working environment that embraces and values diversity, equity and inclusion. We encourage candidates to speak with a member of our recruitment team if you require adjustments to our recruitment process to support you, and the type of working arrangements that would help you thrive.   About Macquarie A career at Macquarie means you’ll have the opportunity to develop new skills, explore interesting fields and do challenging work that will impact the lives of people around the world—whether it’s accelerating the green energy transition, helping sustain global food supplies, financing social housing projects or investing in essential infrastructure. At Macquarie, we’re empowering people to innovate and invest for a better future. Macquarie is a global financial group providing clients with asset management, retail and business banking, wealth management, leasing and asset financing, market access, commodity trading, renewables development, specialist advisory, capital raising and principal investment.  Job no: CGM-975172 Work type: Permanent - Full time Location: Sydney Category: Mid-level, Junior, Data & Analytics Group: Commodities and Global Markets Division: Central Recruiter: Badrul Alam Opening Date: 09/11/2023Show moreReport"
ETM Group Holdings Pty Ltd,Business Analyst,Alexandria,"$90,000",,,,,,,"ETM Group Holdings is currently searching for a firstrate Business Analyst to work our Bondi Junction office, Sydney.The successful candidate must have a highly relevant Bachelor degree & at least two years full time experience. Experience in the construction industry will be preferred. Duties of the positions are:Crafting and documenting a business strategy to both improve the level of customer service to its clients and to improve the quality of the service offered.Developing and interpreting and analysing client feedback including tracking and monitoring client satisfaction.Reviewing current communication and interactions between different departments and locations.Organising weekly meetings with directors, management staff to discuss any operational issues with company operations.Gathering and organising the information about the business issues or problematic procedures and providing best solutions to overcome these business issues.Implementing best business improvement procedures and demonstrating and presenting to the staff the new and improved business organisation workflows. Discussing with staff any improvements to the management of the systems procedures to ensure greater efficiencies and the reduction in waste.Planning and managing the companies workflow chart, maintaining and updating weekly management reports and related analysis.Developing and updating business process data documentation and work guidelines.Preparing, reviewing and amending the business policy and procedural manuals.Performing a cost-benefit and return on investment analysis for new proposed systems.We can offer a fulltime position and remuneration in the range $90,000 - $100,000 plus Superannuation.Job Type: Full-timeSalary: From $90,000.00 per yearSchedule:8 hour shiftAbility to commute/relocate:ALEXANDRIA, NSW 2015: Reliably commute or planning to relocate before starting work (Required)Work Authorisation:Australia (Preferred)Work Location: In personShow moreReport"
Nixil4.0 ★,Junior Data Analyst: Investment Data Management (IDM) - Remote,Sydney,$0,Unknown,--,Company - Private,--,--,Unknown / Non-Applicable,"Work options: Hybrid Our client is seeking a dedicated Investment Data Analyst to help drive their ambitious IDM Program. Your role will be pivotal in enhancing investment decision-making through the delivery of high-quality, trustworthy investment data. Key Responsibilities: Investigate and resolve data quality issues, ensuring data completeness, accuracy, and accessibility. Utilize Hamilton Lane private market administrative tools and Data Investment platforms for managing private market investment data. Collaborate with cross-functional teams for data analysis. Support the implementation of next-gen investment data solutions, prioritizing data quality and efficiency. Contribute to decision-making processes by providing reliable data insights. Prepare reports and communicate findings effectively to diverse stakeholders. Mandatory Skills: A minimum of one year of experience in banking and capital markets, private markets, superannuation or investment data or similar roles within the financial sector. Proven investment data management skills, including data input, data quality resolution, and familiarity with investment data. Exceptional attention to detail and rapid problem-solving ability. Strong communication skills to liaise with stakeholders and present complex data clearly. Ability to thrive in a hybrid work environment. Self-motivated and proactive Full working rights – Must be an Australian Citizen or Australian Permanent Resident Nice-to-Have Skills: Advanced Technical Skills: Proficiency in Python, R, SQL, or SAS, and data visualization tools like Tableau or PowerBI. Data Governance Experience: Understanding data governance principles. Relevant Certifications: CAP or CDMP certifications. Deep Financial Industry Knowledge. Strong Problem-Solving Skills. Advanced Degree in Data Science, Economics, or Finance. Familiarity with Hamilton Lane private markets administrative tools and Data platform. ***this will be a 6month contract with the option to extend and has a daily rate of $300-$450pd incl sup and aligned to the level of experience***Show moreReport"
TPG Telecom4.0 ★,Data & Reporting Analyst,North Sydney,"$78,772",1001 to 5000 Employees,2020,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$2 to $5 billion (USD),"Exciting time to join a top 100 ASX listed business with big goals Hybrid working arrangement, mix of working from home and the office Awesome company culture and benefits This opportunity The Data & Reporting Analyst role is a critical role in the Customer Lifecycle Management team for delivering data analytics and comprehensive reporting services. As a Data & Reporting Analyst, you will be responsible for designing, building and maintaining reports, analysing data, and providing insights to improve customer lifecycle management, achieve commercial targets and identify growth opportunities, while strengthening customer relationship and growing lifetime value. You will work closely with the Product Owners and Campaign Managers to identify key performance indicators (KPIs) and ensure they are tracked and reported accurately. You will have strong Power BI and analytical skills and who is adept in pulling together and consolidating information from various sources to develop fit-for-purpose reporting solutions with a strong focus on data accuracy and storytelling. Responsibilities Extract and integrate data from a range of sources and maintain, update and enhance a range of established to meet the business needs Examine and evaluate the purpose and content of existing reports to improve existing or developing new robust dashboards and visualisation that support self-serve and provide insights that are relevant, timely and accurate Develop and maintain tailored data models for input data/metrics through Dataset relationship mapping Support key projects including process and workflow simplification, reporting automation Collaborate with internal stakeholders to align reporting to ensue consistency of metrics reported across broader functional teams Knowledge and experience Strong reporting, modelling, and scenario analysis Proven experience in developing, delivering and maintaining business intelligence reports and dashboards Advanced Power BI experience (Power BI Certificate is a bonus) Working knowledge of campaign systems such as SAS is highly regarded Competency working in a SQL-based environment and data platform such as Teradata, AWS (or similar) cloud-based data platform Proficiency in Microsoft Excel – pivot tables, index and lookup functionality, data ranging Strong analytical, critical thinking and problem-solving skills Highly developed written and communication skills with the ability to present information visually via the use of charts, maps, scorecards and interactive dashboards Self-motivated to work independently and deliver your best work in a fast-paced environment Bolder and better together! We’re all about enabling every individual to be their authentic selves and creating a place where everybody belongs. If you are excited about this role, but your experience doesn’t align perfectly with every qualification in the job description, we encourage you to APPLY NOW regardless. You may just be the right candidate for this or perhaps another similar role with us. We are a 2023 Circle Back Initiative Employer – we commit to respond to every applicant Our Talent Acquisition Team and Hiring Managers kindly request no unsolicited resumes or approaches from Recruitment Agencies. TPG Telecom is not responsible for any fees related to unsolicited resumes. #LI-Hybrid #LI-SM1 VideoShow moreReport"
Sydney Water3.5 ★,Data Analyst - Remote,Parramatta,"$118,761",Unknown,--,Government,Energy & Utilities,"Energy, Mining, Utilities",Unknown / Non-Applicable,"Work options: Hybrid Flexible working arrangements available working two days in-office and three days from home. $118,761.26 plus + Super + Leave Loading. 38 hour week, 19 day month Location, Parramatta (Flexible Work Options Available) 1x permanent and 1x 12 month term role available About the role The purpose of this role is to provide data engineering, reporting and analysis expertise across all data streams in use within Sydney Water’s Customer Hub. You will assist the team in minimising impact to customers, being proactive in communications, to drive continuous improvement in the service fault journey and provide data solutions to optimise the water and wastewater network assets. Other role responsibilities include: Analyse operational data from SCADA systems, IoT, asset management systems and customer facing systems to optimise operational efficiency and improve customer and business outcomes. Build Power BI dashboards, data models and other decision support tools to report on key performance indicators in real-time and to improve business and operational performance. Manipulate, merge, and analyse large unstructured datasets Create ETL pipelines for reporting Identify capability gaps and drive process improvement. System Accountabilities You will be working with, and gain expert understanding of the following enterprise systems to influence business improvement: Network and Treatment SCADA Internet of Things (IoT) platform Enterprise data and business intelligence platforms Microsoft Power platform (eg: Power BI, Power Apps) Office 365 Azure cloud system (eg: Databricks) Asset Management Database (Maximo) Geographic Information System (GIS) Customer Management System (CMS) What’s in it for you ? Flexible/Hybrid working Parking options available Childcare allowances Up to 18 weeks paid parental leave Novated lease options Fitness Passport offering access to hundreds of gyms and pools around NSW Flu vaccinations and discounted options on health insurance membership providers Skills/ Knowledge A relevant degree in quantitative discipline (Comp Sci, Engineering, Mathematics, Science, etc) and/or 3+ years proven experience in data processing, analysis and reporting. Highly developed communication skills, both written and verbal and the ability to effectively communicate with Sydney Water personnel at all levels. Demonstrated self-motivation and willingness to accept challenges and deliver assigned projects as part of a team or as an individual. Proven experience with Data Visualisation tools such as Power BI Demonstrated experience in manipulating and cleaning large datasets Ability to translate data into meaningful stories and reports to help drive business process improvements. Knowledge of Water and Waste-water networks and / or managing service faults is highly desirable. Understanding of ETL pipelines Experience with SQL and/or Python/R (not required but highly desirable) Experience with hydraulic modelling (not required but highly desirable) Experience with cloud computing platforms such as Azure (not required but highly desirable) Does this sound like you? Apply now. We support you through the application process and can modify as needed – let us know what you need. Closing date: 15 November 2023 Please see the position description for the roles full accountabilities. Contact recruitment@sydneywater.com.au for more information You must be an Australian Citizen or Permanent Resident at the time of submitting your application to be considered for this role. For more information, you can contact recruitment@sydneywater.com.au Sydney Water welcomes you to apply if you feel you meet the selection criteria. The successful completion of a Criminal History Check and Medical Assessment form part of the application process. Please advise if you require any adjustments to actively participate in the application and recruitment process. We want your perspective and ideas to help us find better ways to delight our customers, so we encourage you to apply no matter your age, sex or culture. You can be part of a committed, highly skilled team who’ll appreciate what you bring to the table. You’ll set and achieve real goals and make decisions that matter, as together we help shape the lifestyle of greater Sydney. As part of the application process, Sydney Water will be collecting your personal and health information to assess your suitability for the role. We will also use your personal information to establish a LiveHire talent profile in our Talent Community. We look at our Talent Community first when new opportunities come up when you apply for a role. Your personal and health information will be collected in accordance with LiveHire’s Terms, Privacy Policy and Sydney Water’s Privacy Collection Statement – Job ApplicationShow moreReport"
Elders4.0 ★,Supply Chain Data Analyst,Sydney,"$74,673",1001 to 5000 Employees,--,Company - Public,Advertising & Public Relations,Media & Communication,$2 to $5 billion (USD),"Nurture. Grow. Thrive. Accepting a role with Elders means you will be joining a team ready to support and grow your career. Be part of a culture that has been in the making for more than 180 years, a culture so strong it is almost tangible. Much like the farmers and communities we work with, you will experience, passion, dedication and resilience across all parts of the business. With such an iconic, essential business in the Australian landscape we are confident that you too will be proud to grow your career at Elders and wear the pink shirt. About the role We are looking for a Supply Chain Data Analyst to join the growing team on a permanent, full-time basis with location flexible for the right candidate. As a Supply Chain Data Analyst, you will harness your expertise in reporting and analytics (using PowerBI) to establish high calibre and meaningful insights for the Supply Chain function at Elders. This is an exciting opportunity to make a real impact in the way Elders operates, enabling the Rural Products business to make key, data driven insights. In return you will have the backing of a longstanding, Australian company genuinely invested in your growth and development. Responsibilities  Establishing and driving Supply & Demand process development Preparing and leading the implementation of D365 Demand planning process Overall reporting and business analysis to drive smart business decisions Using data to support recommendations for optimizing current processes in the supply chain Interacting with sales, marketing, and finance to understand demand forecast drivers; Providing input to the Supply Planning function in developing inventory strategies on existing items, new products, and product phase-outs; About you  Strong Microsoft Power BI skills and experience Experience with Microsoft SQL Server 2012 (or later) SSRS, RDBMS and/or Azure Data Lake Experience in a demand planning/forecasting role, preferably in a retail or agricultural inputs environment. Experience/knowledge of Microsoft D365 Solid understanding of inventory management practices and procedures. Strong mathematical and statistical knowledge. Capability to multitask in a fast-paced environment. Excellent written and verbal communication skills. Agricultural or related industry experience (desirable) About Elders Elders is proud to be the last Australian-listed major agribusiness. The most trusted agribusiness brand in Australia. We’re part of the landscape, part of the local communities, part of Australia’s history and we are entrenched in Australian agriculture. The brand is more than a company, more than a logo - it’s part of Australia. And, with an authentic drive to create a sustainable future for farming and the farmers of Australia, Elders is... for Australian agriculture. We are now looking for the next generation to be part of something big and drive the future of Elders. If you are ready to grow your career with Elders, please today. For more information call Matthew Sargent on 0419 881 432 or visit our careers page. Please note, applications may be shortlisted as they are received.  At Elders, we strive to create a safe environment where everyone can thrive. We aspire to do this by recognising talent, promoting inclusion and celebrating diversity. No matter how you identify, we encourage talented people from all backgrounds, abilities and identities to apply for roles at Elders.  We will accept applications from all people with the right to live and work in Australia. #LIShow moreReport"
Zurich Insurance4.3 ★,Data Analyst,North Sydney,"$135,950",10000+ Employees,1872,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"A new adventure awaits…  At Zurich we’re on a journey, even though we are 100 years young in ANZ, we are lighting the way to a brighter future. A brighter future for you – focused on your career, your wellbeing and your community – as well as our customers and the planet.  Zurich’s General Insurance business in Australia & New Zealand works with companies of all sizes and across all segments SME, Mid-Market and Corporate to provide coverage such as Business Insurance, Motor Insurance, Workers Compensation, and more. From SMEs to Tradesmen, small yachts to large fleets through to large businesses, our General Insurance solutions are designed to suit organisations of all shapes and sizes. Whether our customers are just starting out or have been in the business sector for years, our customer-first approach helps protect their businesses with confidence  Let’s create a brighter future together, let’s make a difference A great opportunity exists as a Data Analyst responsible for supporting General Insurance to deliver and create data solutions and reporting within the Partnership Crew. This role will work closely with Zurich’s MGA partners and well as a large number of internal stakeholders.  Co-ordinate the management and oversight of bordereaux files; track the delivery and processing of files received from our MGA / Claims TPA partners Perform data-related functions including: analysis, cleansing, mapping, and visualization Identify business requirements to support data initiatives. Support data focused initiatives and implementations. Working with our Partners to identify and resolve data issues. Look for continuous improvement and innovation in processes and insights driven by business need and advancements in technology. Collaborate with data stakeholders to understand and translate business requirement into data management initiatives to achieve business goals. take ownership and be able to drive solutions with stakeholders to ensure each data management initiative delivers intended business value Contribute to new regulatory and market driven requirements related to data Important to your success - let's grow together Bachelors degree (or equivalent) in Computer Science or Business related field and multiple years of experience in related field Demonstrated experience in Influencing - The job’s core deliverables rely on influencing or negotiating with a range of internal clients, usually at the line manager or employee level and external partners, usually MGAs Experience in a similar analytical role, ideally with a focus on supporting a financial services business (Insurance industry experience would be a bonus) Demonstrated ability in data reconciliation and data management Demonstrated ability to perform data analysis, requirements gathering, workshop facilitation. Good relationship skills promoting cooperation, collaboration or acceptance. Be empowered. Make your impact  We achieve amazing things together by:  thinking differently, making iterative change, simplifying, finding efficiencies and improving how we do things. We are always testing and learning setting up our business units with the right resources, pointed at the right things having a clear and visible set of objectives that each one of us can help form, rally behind, and deliver.  We’re all moving towards the same destination and encourage everyone to be curious, courageous and responsible as we seek out new opportunities to delight our customers and ensuring this is a great place for us to be together.   Belong. Zurich is here to support you  There are many reasons why Zurich is the right choice for you, but here are just a few – grow, and thrive in your career (we support and encourage it); work with global, diverse, and inclusive teams; explore your passions, fuel innovation, drive equity, collaborate and make a positive difference beyond your role; access programs to stay healthy and feel healthier; Flexwork@Zurich; become an activist in your community with the support of Z Zurich Foundation; award winning training programs; state-of-the-art Green Star rated office in North Sydney; we plant a tree for every new employee – one of many local initiatives driving our contribution to ambitious global sustainability targets.  We could go on, but the main point is that Zurich is a place that you can truly belong and thrive!  Zurich is an equal opportunity employer. We are committed to ensuring that our recruitment process is fair and accessible for all candidates. If you require any special accommodations to participate in our recruitment process, we encourage you to let us know at the time of your application.  So, if you want to come on an adventure that will build a brighter future together, and feel a sense of togetherness, then please apply today to start your adventure!Show moreReport"
WPP3.6 ★,Data Business Analyst,Sydney,"$80,000",10000+ Employees,1985,Company - Public,Advertising & Public Relations,Media & Communication,$10+ billion (USD),"Job Type: Full-timeSalary: $70,000.00 to $120,000.00 /yearLocation: Office location will be determined dependant on the right applicant, as we have offices based in Sydney, Melbourne, Adelaide, Perth and Brisbane.We are looking for a BA who has demonstrated experience in business and data analysis alongside project delivery. You’ll be confident working across functional teams and will be able to join our team on a Full-time basis within one of our agencies.As a Business Analyst, you are responsible for leading the written recommendations and documentation required throughout the project lifecycle working closely with Clients and our Project Management Office, Technical Development, Design and User Experience teams.Who are we looking for?2 years agency experienceHigh attention to detailConfidence in presenting to wide range of Stakeholders.Ability to think analytically and solve data problemsUnderstand various concepts and terminologies, including highly technical content, and express them in a clear and concise mannerExcellent analytical and research skills with the ability to collect and analyse complex material and data, and present it in accessible and clear/simple formatsA person who can grow in to a more senior role in 18 monthsYou’ll need to be:Passionate, energetic & proactiveStrong in organisational skills with ability to prioritise workload and multitaskA team playerPersonable – with the ability to build and maintain strong relationships with clientsHighly motivatedSomeone with strong written & verbal communication skillsSomeone who has a “can do” attitudeWPP is the leading marketing communications services group in Australia and New Zealand. No other group comes close to our scale and breadth of capability. We know that the most powerful role we can play is to bring together the best knowledge, thinking and talent to meet our clients’ challenges with bigger, better and smarter ideas – we call this way of working ‘ Connected Know-How’.Please apply using the link below. Only successful applicants will be contacted for an interview.Job Types: Full-time, PermanentSalary: $60,000.00 – $100,000.00 per yearSchedule:8 hour shiftMonday to FridayAbility to commute/relocate:Sydney NSW: Reliably commute or planning to relocate before starting work (Required)Work Authorisation:Australia (Preferred)Work Location: In personShow moreReport"
Commonwealth Bank3.9 ★,Data Analyst,Sydney,"$100,995",10000+ Employees,1911,Company - Public,Banking & Lending,Finance,$5 to $10 billion (USD),"See yourself in our team The Chief Data & Analytics Office (CDAO) are responsible for driving an uplift in the Consumer Data and Analytics capability across the Retail Bank. The area comprises of several functions and to support the goals of Group priorities. Our Remediation team is responsible for remediating our retail customers in a fair, transparent, efficient, timely and consistent way; in a manner that protects the fair and efficient operation of the market and engenders confidence in our products and services. In this role As a Data Analyst, you will utilise a variety of analytical tools such as SQL, Teradata in conjunction with large data sets to enable business leaders to make better decisions. Through the delivery of quality analytics and insights, you will contribute to the management of the end-to-end governance framework, ensuring products meet the standards we adhere to for our RBS customers. Your responsibilities will also include: Conducting end to end ownership and delivery of data driven remediation projects Investigating customer anomalies and platform queries to ensure swift and timely Remediation Developing and maintaining effective relationships with various stakeholders Gathering valuable insights and presenting key findings to business stakeholders through the utilisation of the data visualisation tools Risk Mindset –All CommBank employees are expected to proactively identify and understand, openly discuss, and act on current and future risks We are interested to hear from people who have: Experience and knowledge in data and analytics Intermediate SQL experience, preferably working with Teradata Ability to interpret data and put forward recommendations to solve analytical problems Demonstrate strong interpersonal skills, including building and maintaining good networks Exhibit sound commercial acumen, and experience in proactively and creatively utilising analytics to drive decision making Understanding of retail products or prior experience in financial domain is highly desirable. If this sounds like you, apply now! At CommBank we believe in working somewhere that works for you. We have many flexible working options available so talk to us about which arrangements could work best for you. If you're already part of the Commonwealth Bank Group (including Bankwest, x15ventures), you'll need to apply through Sidekick to submit a valid application. We’re keen to support you with the next step in your career. We're aware of some accessibility issues on this site, particularly for screen reader users. We want to make finding your dream job as easy as possible, so if you require additional support please contact HR Direct on 1800 989 696. Advertising End Date: 24/11/2023Show moreReport"
