company,job_title,location,salary,company_size,company_founded,company_type,company_industry,company_sector,company_revenue,job_description
Peroptyx2.7 ★,Data Analyst,Australia,$23.50,1 to 50 Employees,2018,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,"For thousands of years, maps have provided humans with the knowledge they need to make decisions. As a Maps Data Analyst, you will have the opportunity to provide ground truth for your town, city or country.At Peroptyx, we are looking for Data Analysts who will review mapping data for digital mapping applications. Your research capabilities will validate and ensure that the navigation of certain routes are accurate and safe.As part of this role you will verify that business names and opening hours are correct. You will check that the distance from a starting point to an end destination is listed accurately resulting in better user experiences.With this job you can plan your days around this highly flexible working schedule, work weekends or late evenings, all from the comfort of your own office. The flexibility of our roles minimizes the impact on your daily routine.So, if you're looking for a new a part-time/full time opportunity Peroptyx has the right role for you!Ideal CandidateFluent in English.Excellent research skills.Excellent local knowledge of your home country.Good understanding and general knowledge of the geography and culture of Australia.Analytical mindset.Job RequirementsMust be living in Australia for a minimum of 5 consecutive years.Must pass an online open-book exam that can verify your full understanding of the material and concepts.Must be willing to work a minimum of 10 hours and up to 20 hours per week depending on task availability.Good working knowledge of search engines, map applications and familiarity with social media platforms.Strong ability to learn, understand and apply multiple sets of different instructions.All work must be of an independent nature.Technical requirements to perform the workAccess to a laptop or computer which uses:- A logon account unique to you- Anti-virus solution that is kept up to date, with regular scans performed- Only one member per household may apply- Payment is on an hourly basis. You are required to work within the average task time.-You will need to pass an online Assessment to qualify to work. We provide tips and tricks to help you prepare but this is not mandatory to take the assessment.NB. All products should be provided at your own expense.Benefits· Work up to 20 hours per week.· Earn a competitive rate of pay.· Develop your research skills.· Avoid the long commute.· Work from the comfort of your home office.· Enjoy the flexibility of setting your own working hours!Apply Online Today!This is a freelance, independent contractor position.Job Type: Part-timePart-time hours: 10-20 per weekSalary: $23.50 per hourBenefits:Unlimited annual leaveWork from homeWork Location: In personShow moreReport"
TSA Group2.9 ★,Real Time Analyst,West Perth,"$90,000",201 to 500 Employees,--,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $50 million (USD),"Company Description TSA is an Australian-owned business in the Outsourcing Industry helping companies acquire, retain and grow their consumer customer bases. We represent some of the country's largest brands from across multiple call centres in Australia and the Philippines.  Job Description The Real Time Analyst is responsible for driving the purpose of improving customer experience and driving continuous improvement within the contact centre. You will monitor agent activities ensuring adherence to schedules and activity entries are up to date with Workforce Management systems. The successful candidate will be passionate about quality and accuracy, and continuous improvement. What you need to know about the role: This is a permanent full-time position based in our West Perth office Work Monday – Friday on a rotating roster from 7am-7pm Must be an Australian Citizen due to the nature of the work How will you do it? Maintain rosters in line with business and staff requests Monitor all call queues, ensuring actions are taken on rosters to ensure target metrics are achieved Produce highly accurate reports highlighting results across key business drivers, including trends Maintain real time activities for a clear view of rostering data Analysis of data and reporting to identify emerging trends and anomalies, in order to communicate to workforce planner Work with the business to ensure that key tasks performed drive business success Analysis of data and reporting to identifying business opportunities and continuous improvement Maintain a high level of professional communication with internal and external stakeholders Accuracy and adherence in all work completed  Qualifications We're interested in hearing from people who possess: Experience in a busy, commercial, competitive WFP/Contact Centre environment Qualifications and/or experience in Genesys Pure Cloud, AWS and Power BI (preferred) Workforce Planning fundamentals Strong attention to detail, quality and accuracy Sound problem solving and analytical skills Ability to work well within a team environment and positively influence & motivate a high performing team Proven customer focus, both internal and external Intermediate to Advanced MS Excel usage Additional Information Why work with TSA? Our #TSAWays are what we are all about. Think of them as the vibe! Join a company that promotes from within – work your way up and across the business Be apart of the driving success of our Government client Comprehensive training, with ongoing coaching and development A vibrant and rewarding recognition program - We love to celebrate our people! We are proud of our fun, friendly and supportive team environment Want to know more? Check out our social media pages: Website: https://tsagroup.com.au/ Instagram: tsa_group_ LinkedIn: https://www.linkedin.com/company/tsa-group-australia/Show moreReport"
Duratec Australia3.5 ★,Data & Reporting Analyst,Perth,"$107,878",501 to 1000 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,"Balcatta based Transform data from various mining sites into concise reports and dashboards Growing, ASX listed contractor THE ROLE  Join our expanding Northwest Mining & Industrial Team. Collaborate with the Portfolio and Operations Manager, and transform data collected from projects located at various mining sites, into concise reports and dashboards.  Day to day you will:  Extract and transform raw data from multiple databases including excel spreadsheets and Primavera P6 schedules Deliver insightful, actionable and timely reports by establishing reliable data sets, tools, and processes for repeatable results Understand the constraints around the source of the raw data and find solutions to maintain data integrity Develop daily, weekly and monthly reports Develop project and program level interactive Power BI dashboards  ABOUT YOU  Have a sound understanding of project management and project control systems and reporting tools Previous experience in construction administration desirable but not essential Contract administration experience desirable but not essential Experience creating data-led and customised reports using tools such as Power BI and excel Able to demonstrate the ability to extract, analyse and edit large amounts of data Strong communication skills and the ability to find solutions Possess the ability to influence and transform current workflow practices  THE BENEFITS Ongoing rewards & recognition programs Company paid parental leave Employee referral programs up to $2000 Weekly pay cycle Salary sacrifice options Employee Assistance Program Novated lease options Discounted health and wellbeing services First Aid and Mental First Aid Support Officers available  Please submit your resume today and one of our friendly recruiters will be in touch with next steps. This role is subject to pre-employment medical and background checks.  ABOUT US  Duratec Australia, is an ASX listed Engineering, Construction and Remediation project contractor with a fast-growing national presence. We lead the way in providing whole-of-life solutions for assets across the Defence, Marine, Mining, Energy and Commercial sectors. Our impressive portfolio of unique and challenging projects including Defence buildings and infrastructure, ports and wharves, power stations, stadiums and historic buildings, just to name a few!  Duratec Australia, is committed to building a workplace culture that values diversity and inclusion. We encourage the employment of people with disability, Aboriginal and Torres Strait Islanders, LGBTI and other diversity groups.  Want to know more? Check out our website or LinkedIn for more information.   Advertised: 09 Nov 2023 W. Australia Standard Time Applications close:Show moreReport"
Rio Tinto3.9 ★,Analyst Geoscientific Data Management,Perth,,10000+ Employees,1873,Company - Public,Mining & Metals,"Energy, Mining, Utilities",$10+ billion (USD),"Analyst Geoscientific Data Management – Perth based Work for a global mining company Opportunity to be part of a multi-disciplinary geoscience team delivering the resources of the future Perth based permanent part-time or full-time role with flexible work arrangements About the role Finding better ways to provide the materials the world needs. Rio Tinto Iron Ore’s Resource Development provides support and sustains our Pilbara Mine Operations through delivery of orebody knowledge that ensures resources are developed in time, future value opportunities are identified and developed, and tenure remains secure. The team are seeking an Analyst Geoscientific Data Management who will implement, maintain and administer data and information systems and contribute to the delivery of high quality, timely data to support wider Rio Tinto Iron Ore operations. Critical systems managed within the team include ProTrak, acQuire, Envirosys and Imago. This is a great opportunity for someone with a geology background to get into data analytics and applications and work in an office environment, or a data specialist who will thrive with developing geoscience and mining knowledge. Reporting to the Specialist Geoscientific Data this role will: Provide operational support and troubleshooting to ensure geoscientific data is current, accurate and accessible Ensure data and information management practices are undertaken in accordance with standards and procedures Advise and assist teams on best use/capabilities of databases and related systems Provide training to enable effective use of data management processes and systems Maintain a current knowledge of database, systems and related technology Support the implementation of improvement initiatives Contribute to communication, planning, implementation and review of processes Assist with implementing best practice and fit-for-purpose data and information systems, processes, practices and solutions. We’ll support and empower you to challenge yourself, learn from others, share your own ideas freely and achieve excellence in technical and leadership outcomes. You’ll get to work with key stakeholders across Operations and Technical support. Your development is important and we will support you to further build your skills and knowledge through a structured mix of experience, exposure, and education opportunities. Where you’ll be working This position will work out of the Rio Tinto Central Park building offices in the Perth CBD with flexibility to be offered on a permanent part-time or full-time basis. Occasional working from home days and ad hoc travel to site in the Pilbara region of Western Australia will form a rewarding part of the role. About you The ideal applicant will have: Proficient computer systems skills and strong data literacy Inquisitive continuous learning style with an interest in data analytics Skills in Geoscientific Data Management systems – i.e. acQuire or Envirosys Demonstrated experience working with databases, TSQL or other programming Previous experience and/or well-developed knowledge of the mining industry Tertiary qualification in Computer Science or Geoscience preferred In addition, you will have a passion for business improvement, innovation and technical excellence. What we offer A work environment where safety is always the number one priority Flexible working from home arrangements as per operational requirements 18 weeks of gender-neutral and equal paid parental leave, with continued superannuation contributions whilst employees are on unpaid or half paid parental leave A competitive base salary reflective of your skills and experience with annual incentive program Comprehensive medical benefits including subsidised private health insurance for employees and immediate family Attractive share ownership plan Company provided insurance cover Extensive salary sacrifice & salary packaging options Career development & education assistance to further your technical or leadership ambitions Ongoing access to family-friendly health and medical wellbeing support Leave for all of life’s reasons (vacation/annual, paid parental, sick leave) Exclusive employee discounts (banking, accommodation, cars, retail and more); and Local relocation packages offered for Australian residents only About Rio Tinto Rio Tinto is a leading global mining and materials company. We operate in 35 countries where we produce iron ore, copper, aluminium, critical minerals and other materials needed for the global energy transition and for people, communities, and nations to thrive. We have been mining for 150 years and operate with knowledge built up across generations and continents. Our purpose is finding better ways to provide the materials the world needs – striving for innovation and continuous improvement to produce materials with low emissions and to the right environmental, social and governance standards. But we can’t do it on our own, so we’re focused on creating partnerships to solve problems, create win-win and meet opportunities. In the Pilbara region of Western Australia, we own a world-class, integrated network of 17 mines, four independent port terminals, a rail network spanning nearly 2,000 kilometres and related infrastructure – all designed to respond rapidly to changes in demand. We are one of the world’s leading producers and exporters of iron ore. Every Voice Matters At Rio Tinto, we particularly welcome and encourage applications from Aboriginal and Torres Strait Islander people, women, the LGBTI+ community, mature workers, people with disabilities and people from different cultural backgrounds. Applications close on 17 Nov 2023 (Rio Tinto reserves the right to remove advertised roles prior to this date)Show moreReport"
Kleenheat2.7 ★,Customer Insights Analyst,Perth,"$87,289",201 to 500 Employees,--,Company - Private,Energy & Utilities,"Energy, Mining, Utilities",Unknown / Non-Applicable,"JOB REF: KH556255 Challenge yourself in a Customer Insights Analyst role leveraging your data management and reporting expertise Analyse and deliver customer insights to influence business decisions in an agile face-paced environment Permanent, full-time role based in Murdoch with flexibility  Kleenheat has been providing energy solutions to homes and businesses across Western Australia and the Northern Territory for more than 60 years. We’re a WA born and bred company, and part of the national Wesfarmers Chemical, Energy & Fertilisers group. We’re committed to delivering energy for today’s customers and tomorrow’s opportunities, with a focus on safe and reliable products and helpful customer service. We pride ourselves on our values of safety, accountability, integrity, collaboration and customer focus – with an understanding that our success is underpinned by our people. About the Role Are you passionate about data, strategy and working collaboratively across various business functions? Are you enthusiastic turning data insights into impactful business decisions to improve processes and revenue? Come and join our dynamic and exceptional Sales and Marketing Team and support our vision of providing energy for today’s customers and tomorrow’s opportunities! These roles don’t come up very often! Where You Add Value Identify and communicate insights and provide recommendations by analysing data sources and discovering key themes and trends. Drive business efficiency and effectiveness by improving sales processes and support strategies to increase revenue and margin. Collaborate cross functionally with internal and external stakeholders to achieve desired outcomes and boost innovation and creativity. Aid in crafting competency frameworks and materials to enhance data maturity in the sales and marketing functions in partnership with the data team.  Have you heard the exciting news? Our Murdoch office will be relocating to Perth CBD in late 2025. You will have easy access to public transport, various dining, and retail options. To excel in the role you’ll need the right mix of skills and experience, which for this position means: Holds a bachelor’s degree in IT, Computer Science, Mathematics, or a related science field, or an equivalent qualification. Proven working experience as a Data Analyst or Business Data Analyst, collecting, structuring, and analysing data (minimum of 4 years’ experience). Data visualization, strong knowledge of and experience with reporting and statistical packages: Microsoft Power BI, R, Python etc. Very strong communication and interpersonal skills. Excellent ability to describe problems/findings to different audiences (technical, non-technical), leveraging visualisation tools effectively. Strong analytical skills with the ability to collect, organize, analyse, and disseminate significant amounts of information with attention to detail and accuracy. Proficient data analysis, data modelling and mapping skills. Self-motivated results-focused individual with the ability to successfully manage multiple tasks, and work under pressure and to tight deadlines. Ability to prepare and deliver presentations to various levels of business stakeholders. Experience or exposure to the energy industry or transferable industry sectors.  We value our employees At Kleenheat, we have a range of benefits to keep life flowing inside and outside of the workplace. Flexible work options for most roles including start/finish times or working a combination of days from the office and from home Kleenheat’s employee discount off your residential LPG or natural gas account Competitive remuneration including allocation of Wesfarmers shares and participation in our annual incentive plan Time for family with parental leave payment up to 16 weeks Ongoing professional learning and development opportunities across our diverse businesses and the Wesfarmers Group to help you progress your career Access to a range of health and wellbeing initiatives including private health insurance discounts, our employee assistance program, annual flu vaccinations, support resources and our safety-first culture Salary sacrifice opportunities, including novated lease vehicle packaging Access to benefits across Wesfarmers including staff discounts at Bunnings, Kleenheat, Kmart, Target, Officeworks, Clear Skincare Clinics and Wesfarmers sponsored arts events  We welcome people with different skills, and life experiences and encourage individuals from diverse backgrounds to apply. We pride ourselves on developing and supporting people and recognise the importance of flexibility. When you apply, please let us know if you are seeking a flexible employment. We are committed to building an engaged and talented workforce that is representative of the people who live in the communities where we operate. Fostering an environment where diversity of thinking, skills and experiences are embraced, delivering innovation and better business results. We welcome and encourage people from diverse backgrounds and particularly, Aboriginal and Torres Strait Islander people to apply. WesCEF operates across multiple locations, with our two major hubs being in Kwinana and Murdoch. We’re excited to share that our Murdoch office will be relocating to Perth CBD in late 2025. Applications close: 5pm AWST, Wednesday 15 November 2023. Our recruitment process considers your alignment to our company values and the requirements of the role. We also have several checks which may be conducted to demonstrate your suitability for the role including but not limited to psychometric assessment, police checks, medical, drug and alcohol testing, right to work check, qualifications, due diligence and/or reference checks.Show moreReport"
Telethon Institute for Child Health Research3.7 ★,Data Analyst - WAACHS Linked Data Study,Nedlands,"$84,367",201 to 500 Employees,--,Non-profit Organisation,--,--,$25 to $50 million (USD),"The Opportunity The Western Australian Aboriginal Child Health Survey (WAACHS) Linked Data Study is a partnership between researchers, the Aboriginal community and government to provide evidence for policy and practice addressing high priority health and wellbeing issues for Aboriginal children and families. The study uses a longitudinal linked dataset based on a population representative sample of Aboriginal children and their families (the 2000/02 Western Australian Aboriginal Child Health Survey; WAACHS) and government data across health, education, child protection, and justice domains. We now have an exciting opportunity for a Data Analyst to join this high achieving team and support a range of sub-studies outlined by study investigators and the Aboriginal Steering Committee. Working closely with the Lead Investigator, your role will include data manipulation, writing script in appropriate software (e.g., R, STATA), data description and statistical modelling, producing draft outputs for review by Investigators and reference groups, and presentation of results for publication and dissemination. This role will be based at Perth Children’s Hospital and will be offered on a full-time basis for 2 years commencing in February 2023. Some of your duties will include but are not limited to; Create specific analytic datasets by integrating data from multiple data sources for unbiased sub-groups to address sub-study questions. Carry out statistical analysis ranging from exploratory & descriptive analysis through to complex longitudinal modelling. Provide interpretation of results and prepare tables, figures and other engaging visualisation as required for review and discussion with Investigators and reference groups. Ensure that all analyses and reporting meet Aboriginal research standards, is culturally sensitive and consistent with the overarching study narrative. About You The ideal applicant for this role will have a tertiary qualification majoring in statistics or another relevant discipline such as Computer Science, Mathematics, Economics, or equivalent work experience in a quantitative field. Along with this, your application must also demonstrate the following skills and attributes;  Strong data management skills and general analytic ability.  Skills, experience and confidence in the application of a wide range of statistical techniques  Relevant experience in data analysis for research purposes using large data sets (e.g., population survey data, administrative datasets).  Excellent programming skills in appropriate scripting language/s (e.g., STATA, R or Python).  Ability to work effectively in a team and conduct tasks autonomously. We are driving inclusion and diversity as part of the way we work and embrace the diverse career and life experiences of our staff. If you meet a number of the requirements (and not all), we encourage you to submit your application. We also encourage you to address any career disruptions (if applicable) you may have had in your cover letter. About Us Our aim is to create a workplace where people are respected and encouraged to fulfil their potential. We encourage a workforce that is innovative, eager to acquire knowledge and enhance skills; we embrace all employee differences, foster a culture that supports diversity and inclusion, and are committed to providing reasonable accommodations where required. Some of our staff benefits include: Additional annual leave over Christmas and Easter.  Save on tax and increase your take home pay by salary packaging up to $15,899 of Living Expenses and up to $2,650 on Entertainment Benefits each FBT year.  Extensive health and wellbeing program with weekly events.  Flexible work options and hybrid working.  Reward and recognition program.  Professional development opportunities including access to unlimited online training with LinkedIn Learning.  Modern offices and end of trip facilities, including sit to stand desks.  Access to Corporate Health Insurance.  Staff purchasing discounts including travel, IT Hardware and stationery. How to apply If you think that this is the right role and an exciting new challenge for you, please click on 'Apply Now' to navigate to our Career Site to view the Job Description and submit your application. Your cover letter (no more than 2 pages) should specifically address your skills and experience outlined in the “About You” section above. Applications will only be accepted through our career portal. If you are experiencing technical difficulties with our online portal, please direct your query to recruitment@telethonkids.org.au  If you require reasonable accommodation in completing this application, please direct your inquiries to recruitment@telethonkids.org.au.   Contact Name: Sarah Johnson  Contact Email: sarah.johnson@telethonkids.org.au  Closing Date: 17/11/2023 Telethon Kids reserve the right to hire prior to the closing date.Show moreReport"
Pyramid Global Technologies5.0 ★,BI Analyst,Western Australia,,201 to 500 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,"About the job BI Analyst Position Title - Business Intelligence Analyst  Location - Perth,Australia  Education/qualifications: Bachelor’s degree in commerce, Computer Science, Information Systems or similar Microsoft Power BI certification Knowledge:  Essential: MS Power BI Snowflake Data Warehouse Oracle and SQL databases SQL skills  Desired: AWS and Data Engineering skills  Skills and experience  To be successful in this role you will have: Minimum of 3 years’ experience in a similar role Demonstrated knowledge of Microsoft Power BI. Power BI Developer certification and exposure to Snowflake Data Warehouse Communications (verbal & written), analytical, research and problem-solving skills Able to engage effectively and confidently with users, team members and management Time management and Negotiation skills Solid experience working with Oracle and SQL databases Demonstrated working knowledge of SQL program language Demonstrated knowledge of relational database environments System Administration functions for a PowerBI environment (Desirable) Best practice knowledge of systems development practices, methodologies and frameworks in an Information Technology context (Desirable  Desired: Knowledge and experience of the utilities industry Relevant product certifications Agile way of working  Key Activities/ Responsibilities: Work with the business to gather and analyse business and technical requirements. Develop BI reporting and visualisation standards, templates, and dashboards for business users Designing, developing, and implementing data pipelines for data migration & collection, data analytics and BI reporting & visualizations. Working with stakeholders to assist with data-related technical issues and support their data infrastructure needs Maintain existing Corporate BI reporting and dashboard documents Identify and implement continuous improvements to maximise value of the data driven solutions and performance of the platform Sustaining operational effectiveness through, troubleshooting and problem resolution of BI reporting and visualisations Provide advice and support to visualisation developers in the organisation Maintain the health of the Production and Test server environments used by visualisation and BI reporting tools. Maintain technical and support documentation for BI reporting and visualisationsShow moreReport"
Pyramid Global Technologies5.0 ★,Data Analytics Visualisation Analyst,Western Australia,,201 to 500 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,"About the job Data Analytics Visualisation Analyst Job Description:Data Analytics visualisation Analyst In Perth Assist with the ongoing maintenance and enhancement of existing RShiny, RMarkdowns and Dash Apps, including working directly with project stakeholders to elicit new enhancement requests, provide estimation and a plan for implementing the work  Maintenance and uplift of visualisation tools in accordance with cybersecurity requirements Be expected to work with and become proficient with other components of Digital Visualisation services Complete project related technical documentation as required, including but not limited to System Architecture, registration and design patterns Provide support to the business where required to assist with Analytics Visualisation Tools Be a team player, participate in regular team meetings and be prepared to showcase project work as required Work with the Woodside Data Analytics Visualisation Lead to deliver the above as well as other activities as required. Manage tasks via Jira/ConfluenceShow moreReport"
University Of Western Australia4.2 ★,Data Analytics Adviser,Western Australia,"$100,980",5001 to 10000 Employees,1911,College / University,Colleges & Universities,Education,$25 to $50 million (USD),"Experienced Data Analyst to build our reporting capabilities. Level 7, full-time appointment on a 12-months fixed term basis. Base salary range: $95,737 – $106,223 p.a. (pro-rata) plus 17% superannuation.  The University of Western Australia (UWA) is ranked among the top 100 universities in the world and a member of the prestigious Australian Group of Eight research intensive universities. With a strong research track record, vibrant campus and working environments, supported by the freedom to innovate and inspire, there is no better time to join Western Australia’s top university.  About the team The UWA Dental School aims to achieve excellence in dental education, research, and oral health care to the benefit of our local community and the advancement of dentistry globally. The Oral Health Centre of Western Australia (OHCWA) is a centre within the UWA Dental School. The Centre is the primary focus for oral health education, research, and specialist care delivery in Western Australia. It treats over 15,000 patients a year and delivers a range of clinical and technical training programs.  About the opportunity As the appointee you will, under broad direction, develop and implement data management solutions and leverage data to enhance decision-making, improve patient care, and optimize operational efficiency while maintaining compliance with regulations and ethical standards.  About you  To be considered for this opportunity, you will demonstrate:  Relevant tertiary qualification or demonstrated equivalent competency. Substantial relevant knowledge and experience in data collection, analysis, integration, migration, and management within and across multiple systems, and associated business processes and interfaces. Highly developed conceptual and analytical skills, with a proven ability to understand and interpret information, data and technical requirements, and the ability to be flexible in utilising a range of tools to deliver outcomes. Highly developed oral and written communication skills, and the ability to communicate effectively with a range of stakeholders and wider University to obtain access to key data. Excellent organisational skills with the capacity to act independently and within a team environment, prioritising tasks to meet deadlines. Experience in the coordination of projects. Experience using SQL, SQL Reporting Services, Power BI and high-level Excel.  About your application Full details of the position's responsibilities and the selection criteria are outlined in the position description: DataAnalystOHCWAFinal (003).docx  You are required to address the selection criteria in your submission in a separate document. For information to assist you with compiling statements to answer the selection criteria, please visit Addressing the selection criteria.  You may also submit an additional statement (1 page max) outlining any personal circumstances which should be considered when assessing your application. Applicants who have experienced periods of academic/professional interruption or other relevant events can include a description of achievements relative to opportunity in this statement.  Closing date: 11:55 PM AWST on Wednesday, 22 November 2023.  This position is only open to applicants with relevant rights to work in Australia.  Application Details: Please apply online via the Apply Now button.  Our commitment to inclusion and diversity  UWA is committed to a diverse workforce and an equitable and inclusive workplace. We celebrate difference and believe diversity is fundamental to achieving our goals as a globally recognised Top 100 educational and research institution. We are committed to creating a safe work environment for Aboriginal and Torres Strait Islander people, women, people from culturally and linguistically diverse backgrounds, the LGBTIQA+ community and people living with disability.  We have a globally competitive, gender neutral parental leave policy with 26 weeks paid leave after 12 months service and 36 weeks after 5 years. We have on-campus childcare facilities for children aged 6 weeks to kindy. We facilitate flexible working, with part-time and job-sharing arrangements considered. We have an ongoing partnership with Pride in Diversity and were recently awarded a Bronze Employer status for LGBTIQA+ inclusion. We have Athena SWAN Bronze accreditation and actively work to improve gender equity.  Should you have any queries relating to your application, please contact the individual named in the advertisement. Alternatively, contact the Talent team at talent-hr@uwa.edu.au with details of your query. To enable a quick response, please include the 6-digit job reference number and a member of the team will respond to your enquiry.Show moreReport"
Capricorn4.5 ★,Functional Data Business Analyst (6month Contract),Perth,"$102,616",201 to 500 Employees,--,Contract,--,--,Unknown / Non-Applicable,"A great place to work When you join Capricorn, you become a part of something bigger than a typical company, because as a co-operative we exist to improve the lives of our Members by supporting them in building stronger businesses – not the other way around. We are purpose-led and are committed to empowering our community to thrive. Our community includes our employees, and we know what is important to them, because we asked! And here's our commitments to you: Provide a diverse and inclusive workplace – because we know how important it is for everyone to be treated fairly and with respect. Give you flexibility – it's important to recognise we are all unique and need to create work life balance. Offer paid parental leave – that supports both parent's leave and their transition back to work. Create a fun environment – our social calendar is full up with a range of different virtual and face-to-face events to keep us connected. Work perks – that our employees actually use, such as a fantastic reward and recognition program, wellness program, additional leave purchase and so much more! The role and what we are looking for Reporting to the Platform Manager – Data, this position is a key component of the SAS Server and Upgrade Project, which includes migrating the current Capricorn Risk Division legacy reporting to an alternative solution in line with the current Data Strategy. The Functional Data Business Analyst will work with the business stakeholders to understand and document the business rules and requirements relating to the current outputs from the existing SAS server. They will also work with technology stakeholders to help design a replacement solution. This position is a 6-month max term contract. Key responsibilities of the role include: Work closely with technology and business SMEs to undertake analysis of current outputs from the legacy solution. Conduct stakeholder and SME workshops to elicit business requirements. Develop and review business and functional requirements and draft specifications for the development and enhancement of business systems and processes. Assist in the design of and re-engineer business solutions that meet business needs and align with the strategic direction. Assist Solutions Architects and Developers in formulating the technical design for business requirements. Work closely with business stakeholders to analyse business processes to design solutions using changes to ways of obtaining required information using solutions decided by the project team. Provide training and support to SMEs in the new ways of obtaining Risk data. Work with the business stakeholders to ensure that the data in the new solution is accurate and fit for purpose. A minimum five years of business analysis experience in a medium to large organisation with exposure to Insurance systems Experience in contemporary Business Analyst practices, technology and systems relating to information, communications, and quality management, including process modelling techniques and tools. High level of IT literacy in and a thorough understanding of IT systems and underlying technical architecture We're looking for candidates with the following skills and experience Qualifications A relevant tertiary qualification in a technology or business-related discipline is preferable Who are we? Capricorn is a member-based financial services organisation which exists to improve the lives of over 25,000 Members across Australia and New Zealand by supporting them in building stronger automotive businesses. We provide products and services including trade credit, risk protection, equipment finance, trade events, travel services, fuel cards and more. Last financial year Member purchases exceeded $2.93 billion and Member returns exceeded $72.5 million. The next steps If you think you are the right person for this role and you believe in a Member first culture, then please apply now. Applications will be reviewed as they arrive, so it is better to apply sooner rather than later. If you need any assistance or adjustments to fully participate in the application process, please contact HR at 1800 327 437. For further information and detail on Capricorn, please visit our website at www.capricorn.coop/careers (http://www.capricorn.coop/careers).Show moreReport"
